주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"8,043","8,283","6,146","1,096",403,"1,806","4,703","5,857"
영업이익,411,249,75,"-1,149","-1,273",-677,453,732
영업이익(발표기준),411,249,75,"-1,149","-1,273",,,
세전계속사업이익,383,223,6,"-1,895",-753,-678,408,705
당기순이익,129,106,-120,"-2,186",-704,-664,308,477
  당기순이익(지배),132,87,-80,"-1,720",-440,-551,279,419
  당기순이익(비지배),-3,18,-39,-466,-265,,,
자산총계,"6,282","7,161","10,076","7,033","4,306","5,527","6,488","7,640"
부채총계,"3,824","4,762","7,897","5,779","3,728","4,661","5,424","6,258"
자본총계,"2,457","2,399","2,179","1,253",578,866,"1,065","1,382"
  자본총계(지배),"2,089","1,999","1,808","1,350",853,"1,296","1,511","1,825"
  자본총계(비지배),367,,371,-97,-276,,,
자본금,58,58,58,70,70,78,78,78
영업활동현금흐름,662,202,286,"-1,329","-1,073",-396,524,"1,123"
투자활동현금흐름,-218,"-1,310","-1,127",870,"2,197",-205,-354,-651
재무활동현금흐름,329,369,286,379,"-1,094","1,250",-30,-466
CAPEX,214,129,"1,109",40,25,340,40,123
FCF,448,73,-822,"-1,369","-1,098",-612,524,904
이자발생부채,255,"1,224","5,111","4,484","2,492",,,
영업이익률,5.11,3.00,1.21,-104.83,-316.19,-37.47,9.64,12.49
순이익률,1.61,1.28,-1.94,-199.48,-174.99,-36.73,6.55,8.14
ROE(%),6.62,4.28,-4.22,-108.93,-39.92,-51.26,19.90,25.14
ROA(%),2.25,1.57,-1.39,-25.55,-12.43,-13.49,5.13,6.75
부채비율,155.63,198.53,362.44,461.20,645.54,538.07,509.27,452.76
자본유보율,"4,156.99","3,952.43","3,585.26","2,289.26","1,579.78",,,
EPS(원),"1,107",735,-674,"-12,365","-3,079","-3,632","1,741","2,614"
PER(배),90.87,91.46,N/A,N/A,N/A,N/A,41.58,27.70
BPS(원),"18,876","18,060","16,334","10,085","6,373","8,365","9,756","11,780"
PBR(배),5.46,3.81,3.13,5.55,11.71,8.65,7.42,6.15
현금DPS(원),"1,463","1,268",976,0,0,269,708,757
현금배당수익률,1.45,1.89,1.95,0.00,0.00,0.37,0.98,1.05
현금배당성향(%),125.91,164.43,-137.86,0.00,,-6.80,35.35,25.17
발행주식수(보통주),"11,907,170","11,907,170","11,907,170","14,288,361","14,288,361",,,
