주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"6,794","6,015","5,597","9,547","12,316","13,596","14,611"
영업이익,406,424,305,286,961,"1,089","1,198"
영업이익(발표기준),406,424,305,286,961,,
세전계속사업이익,314,406,304,200,931,,
당기순이익,249,371,234,107,793,,
  당기순이익(지배),251,370,240,214,698,820,925
  당기순이익(비지배),-2,1,-6,-107,96,,
자산총계,"2,805","2,849","3,771","6,043","7,330",,
부채총계,"1,710","1,422","1,560","3,020","3,442",,
자본총계,"1,095","1,428","2,211","3,023","3,888",,
  자본총계(지배),"1,089","1,421","2,211","2,664","3,413",,
  자본총계(비지배),,,0,358,474,,
자본금,25,25,61,67,67,,
영업활동현금흐름,236,621,443,240,807,,
투자활동현금흐름,-280,-476,"-1,035",-459,-265,,
재무활동현금흐름,11,-54,505,258,54,,
CAPEX,309,416,598,598,381,,
FCF,-72,206,-154,-358,426,,
이자발생부채,835,801,895,"1,357","1,521",,
영업이익률,5.97,7.05,5.44,3.00,7.80,8.01,8.20
순이익률,3.67,6.16,4.18,1.12,6.44,,
ROE(%),25.88,29.48,13.24,8.79,22.97,,
ROA(%),9.08,13.11,7.07,2.18,11.87,,
부채비율,156.08,99.58,70.55,99.92,88.54,,
자본유보율,"4,232.08","5,682.12","3,637.55","4,079.12","4,941.57",,
EPS(원),494,727,415,340,"1,066","1,227","1,376"
PER(배),,,16.12,34.41,11.35,8.23,7.34
BPS(원),"2,138","2,790","3,617","4,072","5,263",,
PBR(배),0.00,0.00,1.85,2.87,2.30,,
현금DPS(원),0,0,158,100,300,,
현금배당수익률,,,2.36,0.85,2.48,,
현금배당성향(%),0.00,0.00,40.13,30.54,27.88,,
발행주식수(보통주),"50,930,680","50,930,680","61,889,132","65,862,985","65,343,271",,
