주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"8,160","7,821","7,354","6,219","5,904"
영업이익,591,543,182,219,492
영업이익(발표기준),591,543,182,219,492
세전계속사업이익,742,563,-162,208,703
당기순이익,541,412,-144,121,553
  당기순이익(지배),437,356,-128,74,448
  당기순이익(비지배),104,56,-17,47,105
자산총계,"10,573","11,760","11,374","10,874","11,139"
부채총계,"5,917","6,662","6,524","5,842","5,481"
자본총계,"4,656","5,098","4,850","5,032","5,657"
  자본총계(지배),"3,823","4,176","3,996","3,987","4,495"
  자본총계(비지배),833,,854,"1,045","1,162"
자본금,250,250,250,250,250
영업활동현금흐름,664,164,365,553,493
투자활동현금흐름,-165,-376,-439,136,137
재무활동현금흐름,-460,493,175,-514,-568
CAPEX,211,488,185,30,195
FCF,453,-324,181,523,298
이자발생부채,"3,583","4,158","4,234","3,713","3,066"
영업이익률,7.25,6.94,2.48,3.52,8.34
순이익률,6.63,5.27,-1.96,1.95,9.37
ROE(%),12.18,8.90,-3.13,1.85,10.57
ROA(%),5.24,3.69,-1.25,1.09,5.03
부채비율,127.07,130.67,134.51,116.10,96.88
자본유보율,"1,375.97","1,511.88","1,455.74","1,455.06","1,642.73"
EPS(원),"8,750","7,123","-2,557","1,480","8,967"
PER(배),7.81,7.00,N/A,21.09,5.28
BPS(원),"77,316","84,456","80,809","80,618","90,026"
PBR(배),0.88,0.59,0.46,0.39,0.53
현금DPS(원),200,250,150,200,300
현금배당수익률,0.29,0.50,0.40,0.64,0.63
현금배당성향(%),2.26,3.47,-5.80,13.37,3.34
발행주식수(보통주),"5,000,000","5,000,000","5,000,000","5,000,000","5,000,000"
