주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,349","1,352","1,549","1,475","1,700"
영업이익,526,501,551,483,606
영업이익(발표기준),526,501,551,483,606
세전계속사업이익,608,590,643,583,707
당기순이익,478,451,477,432,524
  당기순이익(지배),478,451,477,432,524
  당기순이익(비지배),,,,,
자산총계,"6,550","6,962","7,524","7,844","8,523"
부채총계,757,755,912,862,"1,065"
자본총계,"5,794","6,207","6,612","6,983","7,458"
  자본총계(지배),"5,794","6,207","6,612","6,983","7,458"
  자본총계(비지배),,,,,
자본금,80,80,80,80,80
영업활동현금흐름,513,539,743,507,775
투자활동현금흐름,-36,-7,-554,-193,123
재무활동현금흐름,-473,-76,-65,-57,-57
CAPEX,35,52,295,49,47
FCF,478,487,449,458,729
이자발생부채,56,0,1,1,1
영업이익률,38.99,37.03,35.58,32.75,35.65
순이익률,35.46,33.35,30.78,29.26,30.83
ROE(%),8.59,7.51,7.44,6.35,7.26
ROA(%),7.30,6.67,6.58,5.62,6.40
부채비율,13.06,12.17,13.80,12.34,14.28
자본유보율,"7,142.07","7,658.23","8,184.19","8,647.66","9,241.88"
EPS(원),"5,981","5,637","5,959","5,395","6,549"
PER(배),7.67,6.39,5.50,5.67,5.53
BPS(원),"72,420","77,582","83,093","87,753","93,727"
PBR(배),0.63,0.46,0.39,0.35,0.39
현금DPS(원),250,600,700,700,"1,700"
현금배당수익률,0.54,1.67,2.13,2.29,4.70
현금배당성향(%),4.18,10.64,11.68,12.91,25.82
발행주식수(보통주),"8,000,000","8,000,000","8,000,000","8,000,000","8,000,000"
