주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"2,762","2,868","2,693","2,460","3,000"
영업이익,126,131,108,100,95
영업이익(발표기준),126,131,108,100,95
세전계속사업이익,141,158,138,106,118
당기순이익,110,119,104,81,88
  당기순이익(지배),110,119,104,81,88
  당기순이익(비지배),,,,,
자산총계,"2,456","2,538","2,495","2,580","2,707"
부채총계,507,491,395,452,520
자본총계,"1,950","2,047","2,099","2,128","2,187"
  자본총계(지배),"1,950","2,047","2,099","2,128","2,187"
  자본총계(비지배),,,,,
자본금,200,200,200,200,200
영업활동현금흐름,297,105,187,118,67
투자활동현금흐름,-264,-108,-85,-144,-73
재무활동현금흐름,-53,-49,-52,-96,-42
CAPEX,33,39,45,13,74
FCF,265,66,143,105,-6
이자발생부채,56,53,51,0,0
영업이익률,4.55,4.58,4.01,4.06,3.18
순이익률,3.98,4.16,3.87,3.30,2.94
ROE(%),5.73,5.97,5.03,3.84,4.08
ROA(%),4.58,4.78,4.15,3.20,3.33
부채비율,25.98,23.99,18.82,21.25,23.75
자본유보율,876.98,919.77,948.79,965.74,993.43
EPS(원),275,298,261,203,220
PER(배),12.13,9.52,11.58,12.98,14.38
BPS(원),"4,874","5,116","5,264","5,354","5,504"
PBR(배),0.68,0.56,0.57,0.49,0.58
현금DPS(원),115,115,115,105,105
현금배당수익률,3.45,4.05,3.81,3.98,3.32
현금배당성향(%),41.83,38.55,43.96,51.39,47.40
발행주식수(보통주),"40,000,000","40,000,000","40,000,000","40,000,000","40,000,000"
