주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,689,"3,756","6,649","8,042","10,649",,,
영업이익,"-1,042",-212,133,"1,226","2,569","4,243","6,014","8,104"
영업이익(발표기준),"-1,042",-212,133,"1,226","2,569",,,
세전계속사업이익,"-1,042",-213,132,"1,223","2,567","4,147","5,667","7,238"
당기순이익,"-1,045",-210,137,"1,136","2,041","3,191","4,479","6,042"
  당기순이익(지배),"-1,045",-210,137,"1,136","2,041","3,191","4,479","6,042"
  당기순이익(비지배),,,,,,,,
자산총계,"58,422","121,267","227,241","266,500","360,401","435,303","539,728","694,611"
부채총계,"51,743","109,863","210,454","238,530","305,187","377,031","477,487","626,905"
자본총계,"6,679","11,404","16,787","27,970","55,214","58,274","62,240","67,705"
  자본총계(지배),"6,679","11,404","16,787","27,970","55,214","58,274","62,240","67,705"
  자본총계(비지배),,,,,,,,
자본금,"8,000","13,000","18,255","20,383","23,758","23,772","23,774","23,771"
영업활동현금흐름,"-1,090",911,"12,667","1,690","-2,955",,,
투자활동현금흐름,"-5,904","-5,830","-17,748","-11,573","-22,086",,,
재무활동현금흐름,"4,928","4,928","5,122","9,888","25,044",,,
CAPEX,234,71,104,173,138,,,
FCF,,,,,,,,
이자발생부채,0,0,0,0,0,,,
영업이익률,-151.22,-5.65,1.99,15.24,24.13,,,
순이익률,-151.63,-5.58,2.07,14.13,19.17,,,
ROE(%),-22.04,-2.32,0.97,5.08,4.91,5.62,7.43,9.30
ROA(%),-3.41,-0.23,0.08,0.46,0.65,0.80,0.92,0.98
부채비율,774.77,963.37,"1,253.66",852.82,552.74,647.00,767.16,925.93
자본유보율,-16.52,-12.28,-8.04,37.22,132.40,,,
EPS(원),"-1,132",-92,51,309,467,670,941,"1,269"
PER(배),,,,,126.36,57.35,40.88,30.30
BPS(원),"4,174","4,386","4,598","6,861","11,620","12,237","13,070","14,218"
PBR(배),0.00,0.00,0.00,0.00,5.08,3.14,2.94,2.70
현금DPS(원),0,0,0,0,0,29,67,257
현금배당수익률,,,,,0.00,0.07,0.17,0.67
현금배당성향(%),0.00,0.00,0.00,0.00,,4.26,7.09,20.23
발행주식수(보통주),"160,000,000","200,000,000","365,096,442","407,653,037","475,159,237",,,
