주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,963","2,037","2,694","2,851","2,580"
영업이익,165,197,209,232,57
영업이익(발표기준),165,197,209,232,57
세전계속사업이익,145,202,231,288,215
당기순이익,102,156,154,218,154
  당기순이익(지배),102,156,140,217,121
  당기순이익(비지배),,,14,1,33
자산총계,912,986,"2,464","2,516","2,856"
부채총계,350,280,"1,761","1,394","1,580"
자본총계,561,705,704,"1,122","1,276"
  자본총계(지배),561,705,519,941,981
  자본총계(비지배),,,185,181,295
자본금,115,115,100,113,113
영업활동현금흐름,141,177,359,343,122
투자활동현금흐름,-16,-199,-261,-166,-71
재무활동현금흐름,30,-122,-37,-159,-22
CAPEX,19,15,27,32,75
FCF,122,162,332,312,47
이자발생부채,202,109,573,296,533
영업이익률,8.41,9.68,7.75,8.12,2.22
순이익률,5.22,7.67,5.71,7.64,5.97
ROE(%),24.88,24.68,,29.70,12.59
ROA(%),12.29,16.48,,8.75,5.74
부채비율,62.43,39.73,250.23,124.29,123.81
자본유보율,399.22,518.70,427.33,745.28,780.85
EPS(원),474,682,610,976,535
PER(배),,,,5.68,16.53
BPS(원),"2,449","3,077","2,262","4,163","4,341"
PBR(배),0.00,0.00,0.00,1.33,2.04
현금DPS(원),15,15,15,350,150
현금배당수익률,,,,6.31,1.69
현금배당성향(%),4.78,3.13,2.14,36.51,28.02
발행주식수(보통주),"20,000,000","20,000,000","20,000,000","22,607,693","22,607,693"
