주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"71,397","57,869","62,540","69,490","63,476",,,
영업이익,"2,466",668,"1,142","1,664","3,322",,,
영업이익(발표기준),"2,466",668,"1,142","1,664","3,322",,,
세전계속사업이익,"2,519",707,"1,637","1,654","3,503","2,220","2,400","2,640"
당기순이익,"1,928",522,"1,152","1,201","2,756","1,680","1,820","2,000"
  당기순이익(지배),"1,900",504,"1,152","1,201","2,756","1,680","1,820","2,000"
  당기순이익(비지배),28,18,,,,,,
자산총계,"303,439","319,221","339,480","362,530","371,033","379,120","389,320","399,960"
부채총계,"278,915","296,291","313,467","331,831","340,594","347,960","356,910","366,120"
자본총계,"24,524","22,930","26,012","30,699","30,439","31,160","32,410","33,840"
  자본총계(지배),"24,163","22,666","26,012","30,699","30,439","31,160","32,410","33,840"
  자본총계(비지배),361,,,,,,,
자본금,"8,068","8,068","8,068","8,068","8,068",,,
영업활동현금흐름,"29,845","16,692","3,403","6,087","10,151",,,
투자활동현금흐름,"-35,261","-16,748","-4,885","-8,749","-6,854",,,
재무활동현금흐름,"5,056",435,"1,743","2,973",-625,,,
CAPEX,60,37,47,19,17,,,
FCF,,,,,,,,
이자발생부채,0,"1,000","3,000","3,000","3,000",,,
영업이익률,3.45,1.15,1.83,2.39,5.23,,,
순이익률,2.70,0.90,1.84,1.73,4.34,,,
ROE(%),9.12,2.23,4.73,4.23,,5.46,5.73,6.04
ROA(%),0.68,0.17,0.35,0.34,,0.45,0.47,0.51
부채비율,"1,137.31","1,292.15","1,205.08","1,080.92","1,118.93","1,116.69","1,101.23","1,081.91"
자본유보율,211.51,191.75,229.95,288.04,284.83,,,
EPS(원),"1,277",312,714,744,"1,708","1,041","1,128","1,239"
PER(배),5.95,15.27,5.60,4.73,3.86,5.89,5.43,4.95
BPS(원),"15,503","14,543","16,690","19,697","19,530","19,992","20,794","21,712"
PBR(배),0.49,0.33,0.24,0.18,0.34,0.31,0.29,0.28
현금DPS(원),360,100,230,220,620,406,448,488
현금배당수익률,4.74,2.10,5.75,6.25,9.39,6.62,7.31,7.95
현금배당성향(%),29.53,30.92,31.11,28.56,35.06,39.00,39.72,39.33
발행주식수(보통주),"161,358,585","161,358,585","161,358,585","161,358,585","161,358,585",,,
