주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"6,945","2,088","2,108","1,731","1,881"
영업이익,204,-12,44,-69,53
영업이익(발표기준),204,-12,44,-69,53
세전계속사업이익,181,-24,-791,-303,-231
당기순이익,10,-576,-774,-308,-196
  당기순이익(지배),-10,-531,-774,-308,-196
  당기순이익(비지배),20,-46,,,
자산총계,"5,538","2,662","1,755","1,394","1,170"
부채총계,"3,249",828,679,613,623
자본총계,"2,289","1,834","1,077",781,547
  자본총계(지배),"1,477","1,834","1,077",781,547
  자본총계(비지배),812,,,,
자본금,104,104,104,104,104
영업활동현금흐름,512,-149,100,172,198
투자활동현금흐름,-336,-966,214,-90,-86
재무활동현금흐름,12,550,-329,-85,-72
CAPEX,329,278,39,33,26
FCF,183,-426,61,140,172
이자발생부채,584,590,451,402,364
영업이익률,2.93,-0.56,2.10,-4.00,2.84
순이익률,0.14,-27.61,-36.72,-17.79,-10.43
ROE(%),-0.56,-47.17,-53.17,-33.15,-29.55
ROA(%),0.18,-23.19,-35.04,-19.55,-15.30
부채비율,141.97,45.14,63.01,78.53,113.96
자본유보율,"2,159.15","1,645.02",900.27,612.91,424.21
EPS(원),-48,"-2,764","-3,711","-1,476",-941
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"7,082","8,795","5,163","3,744","2,622"
PBR(배),1.11,0.34,0.53,0.47,0.86
현금DPS(원),,,,,
현금배당수익률,,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"20,856,819","20,856,819","20,856,819","20,856,819","20,856,819"
