주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,842,918,"1,085",886,"1,016","1,136","1,228","1,303"
영업이익,35,55,171,59,101,131,142,151
영업이익(발표기준),35,55,171,59,101,,,
세전계속사업이익,26,40,175,192,87,138,146,153
당기순이익,58,33,192,198,89,144,152,157
  당기순이익(지배),58,33,192,198,89,144,152,157
  당기순이익(비지배),,,,,,,,
자산총계,"1,687","1,623","1,914","2,201","1,985","2,252","2,446","2,470"
부채총계,575,454,510,389,350,471,512,446
자본총계,"1,112","1,169","1,404","1,813","1,635","1,782","1,934","2,024"
  자본총계(지배),"1,112","1,169","1,404","1,813","1,635","1,782","1,934","2,024"
  자본총계(비지배),,,,,,,,
자본금,261,261,261,261,261,260,260,261
영업활동현금흐름,421,-30,205,9,8,184,194,202
투자활동현금흐름,-101,-161,-366,-23,80,-158,-83,-69
재무활동현금흐름,6,,-5,-5,-3,0,0,0
CAPEX,17,19,21,26,46,60,35,50
FCF,404,-49,184,-16,-38,108,154,126
이자발생부채,0,0,6,6,13,,,
영업이익률,4.20,5.96,15.76,6.70,9.94,11.53,11.52,11.59
순이익률,6.90,3.59,17.68,22.31,8.76,12.68,12.38,12.05
ROE(%),5.39,2.89,14.90,12.29,5.16,8.43,8.18,7.93
ROA(%),3.96,1.99,10.84,9.61,4.25,6.80,6.47,6.39
부채비율,51.71,38.82,36.30,21.44,21.40,26.44,26.45,22.04
자본유보율,336.51,348.46,418.25,498.00,532.76,,,
EPS(원),111,63,367,378,170,276,291,301
PER(배),219.27,573.05,98.90,99.12,123.61,59.86,56.71,54.90
BPS(원),"2,173","2,285","2,744","3,542","3,193","3,513","3,814","3,992"
PBR(배),11.23,15.85,13.23,10.59,6.59,4.70,4.33,4.13
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"52,240,638","52,240,638","52,240,638","52,240,638","52,240,638",,,
