주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"7,389","7,775","7,191","6,334","8,866","10,451","10,556","11,595"
영업이익,461,254,122,351,"1,033","1,061","1,090",933
영업이익(발표기준),461,254,122,351,"1,033",,,
세전계속사업이익,-581,212,250,42,"1,267","1,254","1,281","1,101"
당기순이익,-434,122,191,-85,973,951,973,825
  당기순이익(지배),-434,122,191,-85,973,951,973,825
  당기순이익(비지배),,,,,,,,
자산총계,"8,859","9,090","8,732","8,688","9,087","10,485","11,423","11,797"
부채총계,"1,676","1,918","1,483","1,719","1,865","2,397","2,466","2,232"
자본총계,"7,183","7,172","7,249","6,968","7,222","8,088","8,957","9,565"
  자본총계(지배),"7,183","7,172","7,249","6,968","7,222","8,088","8,957","9,565"
  자본총계(비지배),,,,,,,,
자본금,460,460,460,460,460,448,448,425
영업활동현금흐름,942,486,143,932,521,985,"1,083",843
투자활동현금흐름,-447,-334,-372,"-1,029",-444,-494,-520,-261
재무활동현금흐름,-83,-83,25,-246,-685,-105,-86,-89
CAPEX,90,71,300,92,121,175,170,
FCF,852,414,-157,840,399,652,776,544
이자발생부채,0,0,116,20,1,,,
영업이익률,6.24,3.27,1.70,5.54,11.65,10.15,10.33,8.05
순이익률,-5.87,1.57,2.65,-1.34,10.97,9.10,9.21,7.12
ROE(%),-5.83,1.70,2.65,-1.19,13.71,12.43,11.41,8.91
ROA(%),-4.75,1.36,2.14,-0.97,10.94,9.72,8.88,7.11
부채비율,23.33,26.74,20.45,24.68,25.83,29.64,27.53,23.34
자본유보율,"1,454.10","1,457.69","1,473.45","1,430.12","1,603.43",,,
EPS(원),-942,264,414,-184,"2,112","2,199","2,291","1,943"
PER(배),N/A,20.88,11.41,N/A,3.67,3.93,3.77,4.44
BPS(원),"15,603","15,581","15,748","15,435","18,601","20,833","23,070","24,636"
PBR(배),0.48,0.35,0.30,0.42,0.42,0.41,0.37,0.35
현금DPS(원),180,200,200,200,250,233,233,250
현금배당수익률,2.38,3.62,4.23,3.06,3.23,2.70,2.70,2.90
현금배당성향(%),-19.10,75.63,48.24,-107.03,9.98,10.41,10.18,12.86
발행주식수(보통주),"46,050,000","46,050,000","46,050,000","46,050,000","46,050,000",,,
