주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"6,132","5,679","5,497","5,019","5,705","7,009","7,537"
영업이익,460,253,26,-15,259,417,403
영업이익(발표기준),460,253,26,-15,259,,
세전계속사업이익,395,233,-24,32,289,400,452
당기순이익,266,149,-50,23,220,326,332
  당기순이익(지배),239,144,-90,-15,199,289,275
  당기순이익(비지배),28,4,40,38,21,,
자산총계,"7,564","8,528","8,340","7,792","8,687","8,652","7,726"
부채총계,"4,253","4,986","4,881","4,259","4,820","4,559","3,448"
자본총계,"3,311","3,542","3,459","3,533","3,867","4,094","4,278"
  자본총계(지배),"2,725","2,848","2,717","2,753","3,106","3,264","3,354"
  자본총계(비지배),586,,742,780,761,,
자본금,249,249,250,273,299,286,273
영업활동현금흐름,98,219,279,140,-202,444,821
투자활동현금흐름,-159,-395,5,377,-53,-157,-155
재무활동현금흐름,190,319,-277,-447,358,-288,-737
CAPEX,142,378,210,430,126,250,240
FCF,-44,-159,68,-291,-328,372,736
이자발생부채,"3,171","3,707","3,516","3,152","3,554",,
영업이익률,7.50,4.46,0.48,-0.29,4.54,5.96,5.35
순이익률,4.34,2.62,-0.90,0.46,3.86,4.65,4.41
ROE(%),9.03,5.18,-3.23,-0.55,6.80,9.06,8.31
ROA(%),3.63,1.85,-0.59,0.29,2.67,3.76,4.05
부채비율,128.45,140.76,141.08,120.56,124.65,111.37,80.60
자본유보율,"1,045.75","1,093.86","1,041.40",983.20,"1,005.01",,
EPS(원),960,580,-360,-58,669,965,919
PER(배),5.98,7.10,N/A,N/A,11.69,9.46,9.93
BPS(원),"12,186","12,735","12,073","11,115","11,309","11,888","12,214"
PBR(배),0.47,0.32,0.32,0.48,0.69,0.77,0.75
현금DPS(원),100,100,80,40,100,102,124
현금배당수익률,1.74,2.43,2.10,0.74,1.28,1.12,1.36
현금배당성향(%),9.39,15.53,-20.11,-66.17,13.82,10.36,13.23
발행주식수(보통주),"24,279,820","24,279,820","24,421,719","26,682,886","29,329,357",,
