주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"963,761","968,126","1,057,464","1,039,976","1,176,106","1,304,802","1,370,372","1,434,227"
영업이익,"45,747","24,222","36,055","23,947","66,789","82,737","88,840","95,919"
영업이익(발표기준),"45,747","24,222","36,055","23,947","66,789",,,
세전계속사업이익,"44,386","25,296","41,638","20,933","79,596","98,365","106,110","115,016"
당기순이익,"45,464","16,450","31,856","19,246","56,931","74,604","79,978","86,653"
  당기순이익(지배),"40,328","15,081","29,800","14,244","49,424","67,165","72,181","78,225"
  당기순이익(비지배),"5,136","1,369","2,056","5,001","7,507",,,
자산총계,"1,781,995","1,806,558","1,945,122","2,093,442","2,339,464","2,420,492","2,512,244","2,620,236"
부채총계,"1,034,421","1,067,597","1,181,465","1,330,032","1,513,306","1,530,041","1,552,746","1,584,288"
자본총계,"747,574","738,960","763,658","763,410","826,158","890,452","959,498","1,035,948"
  자본총계(지배),"691,035","679,740","700,658","694,806","749,861","808,115","870,418","936,673"
  자본총계(비지배),"56,539","59,220","63,000","68,603","76,297",,,
자본금,"14,890","14,890","14,890","14,890","14,890","14,890","14,890","14,890"
영업활동현금흐름,"39,224","37,643","4,198","-4,098","-11,764","91,685","112,903","126,095"
투자활동현금흐름,"-47,444","-24,151","-59,292","-93,376","-51,826","-57,158","-71,902","-70,739"
재무활동현금흐름,"21,812","-8,808","48,749","113,525","87,923","-4,233","-3,936","-3,073"
CAPEX,"30,550","32,265","35,867","46,878","43,043","41,263","43,216","42,852"
FCF,"8,674","5,378","-31,669","-50,976","-54,808","36,730","49,608","65,596"
이자발생부채,"720,011","733,054","821,763","921,948","1,087,992",,,
영업이익률,4.75,2.50,3.41,2.30,5.68,6.34,6.48,6.69
순이익률,4.72,1.70,3.01,1.85,4.84,5.72,5.84,6.04
ROE(%),5.92,2.20,4.32,2.04,6.84,8.62,8.60,8.66
ROA(%),2.55,0.92,1.70,0.95,2.57,3.14,3.24,3.38
부채비율,138.37,144.47,154.71,174.22,183.17,171.83,161.83,152.93
자본유보율,"4,804.16","4,747.59","4,865.48","4,909.48","5,187.27",,,
EPS(원),"14,127","5,352","10,761","5,144","17,846","24,253","26,064","28,246"
PER(배),11.04,22.14,11.20,37.33,11.71,7.69,7.16,6.60
BPS(원),"257,222","256,422","267,549","266,968","289,609","313,448","337,614","363,313"
PBR(배),0.61,0.46,0.45,0.72,0.72,0.59,0.55,0.51
현금DPS(원),"4,000","4,000","4,000","3,000","5,000","5,598","5,754","5,777"
현금배당수익률,2.56,3.38,3.32,1.56,2.39,3.00,3.08,3.10
현금배당성향(%),26.77,70.70,35.35,55.15,26.32,17.81,17.03,15.78
발행주식수(보통주),"220,276,479","213,668,187","213,668,187","213,668,187","213,668,187",,,
