주요재무정보,"2017/06
(IFRS별도)","2018/06
(IFRS별도)","2019/06
(IFRS연결)","2020/06
(IFRS연결)","2021/06
(IFRS연결)","2022/06(E)
(IFRS연결)"
매출액,,,,,,770
영업이익,,,,-109,-184,280
영업이익(발표기준),,,,-109,-184,
세전계속사업이익,,,,-149,-74,
당기순이익,,,,-150,-74,20
  당기순이익(지배),,,,-150,-74,
  당기순이익(비지배),,,,,,
자산총계,,,,"1,601","6,042",
부채총계,,,,223,292,
자본총계,,,,"1,378","5,750",
  자본총계(지배),,,,"1,378","5,750",
  자본총계(비지배),,,,,,
자본금,,,,"1,528","5,941",
영업활동현금흐름,,,,-124,-154,
투자활동현금흐름,,,,-180,-209,
재무활동현금흐름,,,,661,"4,545",
CAPEX,,,,13,9,
FCF,,,,-138,-164,
이자발생부채,,,,29,78,
영업이익률,,,,,,36.36
순이익률,,,,,,2.60
ROE(%),,,,,-2.07,
ROA(%),,,,,-1.93,
부채비율,,,,16.18,5.08,
자본유보율,,,,-14.33,-4.71,
EPS(원),,,,-336,-142,
PER(배),,,,,N/A,
BPS(원),,,,"3,000","9,567",
PBR(배),,,,0.00,3.45,
현금DPS(원),0,0,0,0,0,
현금배당수익률,,,,,0.00,
현금배당성향(%),,,,0.00,,
발행주식수(보통주),"34,806,835","39,344,560","41,967,535","45,939,905","60,096,155",
