주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,907","2,038","2,046","1,527","1,868"
영업이익,-23,-69,-89,-45,-93
영업이익(발표기준),-23,-69,-89,-45,-93
세전계속사업이익,-103,-205,-234,-129,-107
당기순이익,-101,-213,-216,-134,-117
  당기순이익(지배),-101,-213,-216,-134,-117
  당기순이익(비지배),,,,,
자산총계,"3,010","3,015","2,821","2,498","2,397"
부채총계,"2,343","2,492","2,520","2,231","2,165"
자본총계,668,524,301,266,232
  자본총계(지배),668,524,301,266,232
  자본총계(비지배),,,,,
자본금,134,212,212,284,330
영업활동현금흐름,-3,-85,37,-68,-14
투자활동현금흐름,-121,-33,-34,176,178
재무활동현금흐름,118,119,-2,-101,-172
CAPEX,124,105,78,49,38
FCF,-127,-190,-42,-116,-52
이자발생부채,"1,664","1,678","1,793","1,592","1,373"
영업이익률,-1.23,-3.36,-4.36,-2.95,-5.00
순이익률,-5.28,-10.46,-10.55,-8.80,-6.29
ROE(%),-17.61,-35.79,-52.37,-47.39,-47.16
ROA(%),-3.49,-7.07,-7.40,-5.05,-4.80
부채비율,350.98,475.79,838.02,837.65,934.45
자본유보율,190.41,30.46,-67.22,-87.62,-108.62
EPS(원),-375,-584,-510,-310,-205
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"2,247","1,237",709,469,351
PBR(배),0.45,0.39,0.66,1.53,1.68
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"29,701,315","42,349,528","42,397,604","56,849,517","65,973,604"
