주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"3,332","2,940","3,637","2,742","2,049"
영업이익,-226,-615,-302,-122,-209
영업이익(발표기준),376,-148,30,7,-146
세전계속사업이익,140,-487,-525,-240,-194
당기순이익,136,-490,-556,-246,-196
  당기순이익(지배),149,-444,-520,-243,-174
  당기순이익(비지배),-13,-46,-36,-3,-22
자산총계,"6,306","6,537","6,788","6,477","6,614"
부채총계,"2,329","2,940","3,529","2,890","2,287"
자본총계,"3,977","3,596","3,259","3,586","4,327"
  자본총계(지배),"3,988","3,581","3,182","3,560","4,248"
  자본총계(비지배),-11,,77,26,79
자본금,128,134,148,229,295
영업활동현금흐름,168,7,265,645,"1,090"
투자활동현금흐름,-190,-361,-358,"-1,119","-1,292"
재무활동현금흐름,192,373,-57,706,57
CAPEX,125,143,40,14,3
FCF,43,-136,225,631,"1,087"
이자발생부채,"1,720","2,312","2,762","2,273","1,906"
영업이익률,-6.79,-20.93,-8.30,-4.45,-10.20
순이익률,4.08,-16.68,-15.29,-8.96,-9.56
ROE(%),3.55,-11.73,-15.37,-7.20,-4.45
ROA(%),2.06,-7.64,-8.34,-3.70,-2.99
부채비율,58.56,81.75,108.28,80.58,52.86
자본유보율,"3,071.56","2,670.21","2,122.94","1,477.25","1,376.86"
EPS(원),246,-735,-860,-373,-182
PER(배),15.22,N/A,N/A,N/A,N/A
BPS(원),"6,669","6,067","5,273","4,223","4,274"
PBR(배),0.56,0.33,0.67,0.91,0.85
현금DPS(원),95,0,0,0,
현금배당수익률,2.53,0.00,0.00,0.00,
현금배당성향(%),38.11,0.00,0.00,0.00,
발행주식수(보통주),"60,397,642","60,397,642","60,397,641","84,348,589","99,455,297"
