주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,751,"3,573","2,653","3,199","3,445","3,938","4,330"
영업이익,139,670,491,561,521,683,730
영업이익(발표기준),139,670,491,561,521,,
세전계속사업이익,144,679,497,536,537,640,690
당기순이익,112,544,369,426,419,507,540
  당기순이익(지배),112,544,369,426,419,507,540
  당기순이익(비지배),,,,,,,
자산총계,"2,666","3,135","3,376","4,073","4,530","4,870","5,400"
부채총계,616,566,491,595,679,560,600
자본총계,"2,050","2,570","2,885","3,478","3,852","4,310","4,800"
  자본총계(지배),"2,050","2,570","2,885","3,478","3,852","4,310","4,800"
  자본총계(비지배),,,,,,,
자본금,99,99,99,104,104,100,100
영업활동현금흐름,71,566,404,722,411,"1,040",630
투자활동현금흐름,-27,-502,37,"-1,111",-133,-240,-240
재무활동현금흐름,-1,-36,-61,159,-56,-50,-50
CAPEX,76,83,133,118,234,160,160
FCF,-5,482,272,603,177,,
이자발생부채,0,0,16,12,22,,
영업이익률,18.54,18.76,18.49,17.55,15.12,17.34,16.86
순이익률,14.87,15.22,13.89,13.31,12.17,12.88,12.47
ROE(%),,23.54,13.52,13.39,11.45,12.42,11.86
ROA(%),,18.75,11.33,11.44,9.75,10.79,10.52
부채비율,30.07,22.01,17.01,17.10,17.62,12.99,12.50
자본유보율,"1,967.26","2,491.60","2,809.27","3,235.45","3,593.61",,
EPS(원),"3,368","2,741","1,858","2,133","2,011","2,430","2,588"
PER(배),6.32,3.46,12.57,14.42,11.96,8.19,7.69
BPS(원),"10,333","12,956","14,544","16,676","18,467","20,665","23,014"
PBR(배),2.06,0.73,1.61,1.84,1.30,0.96,0.86
현금DPS(원),180,270,200,220,220,250,280
현금배당수익률,0.85,2.85,0.86,0.72,0.91,1.26,1.41
현금배당성향(%),31.97,9.85,10.76,10.77,10.94,10.29,10.82
발행주식수(보통주),"19,839,340","19,839,340","19,839,340","20,861,556","20,861,556",,
