주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"64,159","69,392","50,211","45,195","66,143"
영업이익,821,"1,000","1,739","1,730",744
영업이익(발표기준),821,"1,000","1,739","1,730",744
세전계속사업이익,"1,511",701,"1,674","5,162","3,647"
당기순이익,"8,012",977,"2,502","3,554","2,723"
  당기순이익(지배),"7,179",708,"1,804","2,670","2,129"
  당기순이익(비지배),833,269,698,884,594
자산총계,"50,516","48,056","50,001","56,216","68,819"
부채총계,"29,080","24,870","26,769","30,053","38,126"
자본총계,"21,436","23,186","23,232","26,164","30,693"
  자본총계(지배),"10,936","14,495","16,827","19,470","24,133"
  자본총계(비지배),"10,500",,"6,406","6,694","6,560"
자본금,704,"1,117","1,117","1,117","1,117"
영업활동현금흐름,"-1,306","-1,581","2,175","1,634","-4,551"
투자활동현금흐름,72,"-1,594","1,835","-5,639","-3,091"
재무활동현금흐름,513,"2,993","-3,491","3,972","8,102"
CAPEX,"1,941","2,558","1,118",845,"2,033"
FCF,"-3,247","-4,140","1,057",789,"-6,584"
이자발생부채,"21,350","14,801","18,156","22,292","31,540"
영업이익률,1.28,1.44,3.46,3.83,1.12
순이익률,12.49,1.41,4.98,7.87,4.12
ROE(%),53.52,5.56,11.52,14.71,9.77
ROA(%),13.82,1.98,5.10,6.69,4.35
부채비율,135.66,107.27,115.22,114.86,124.22
자본유보율,"2,934.94","2,118.77","2,400.51","2,638.20","2,868.09"
EPS(원),"28,731","3,936","8,844","13,091","10,438"
PER(배),3.62,6.63,2.96,5.02,4.45
BPS(원),"90,161","71,115","82,553","95,522","121,961"
PBR(배),1.15,0.37,0.32,0.69,0.38
현금DPS(원),750,600,700,"1,000","1,500"
현금배당수익률,0.72,2.30,2.68,1.52,3.23
현금배당성향(%),1.28,17.38,7.95,7.66,13.97
발행주식수(보통주),"10,784,283","19,037,855","19,037,855","19,037,855","19,037,855"
