주요재무정보,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"4,334","12,272","11,505","14,974","18,327","17,424","16,290"
영업이익,112,459,536,"1,319","1,711","1,526","1,374"
영업이익(발표기준),112,459,536,"1,319",,,
세전계속사업이익,96,434,477,"1,248","1,657","1,468","1,366"
당기순이익,70,249,331,914,"1,231","1,083","1,018"
  당기순이익(지배),70,249,331,914,"1,231","1,083","1,018"
  당기순이익(비지배),,,,,,,
자산총계,"10,541","10,288","10,521","12,282","13,463","14,003","14,119"
부채총계,"5,007","4,576","4,568","5,486","5,528","5,071","4,312"
자본총계,"5,535","5,712","5,953","6,796","7,936","8,932","9,808"
  자본총계(지배),"5,535","5,712","5,953","6,796","7,936","8,932","9,808"
  자본총계(비지배),,,,,,,
자본금,142,142,142,142,141,141,141
영업활동현금흐름,150,659,702,220,"1,391","1,435","1,353"
투자활동현금흐름,-26,-13,-524,-17,-388,-417,-398
재무활동현금흐름,-222,-610,109,530,-306,-473,-484
CAPEX,30,64,259,179,355,360,300
FCF,120,595,442,41,"1,018","1,025",953
이자발생부채,"2,680","2,172","2,341","2,958",,,
영업이익률,2.58,3.74,4.66,8.81,9.34,8.76,8.44
순이익률,1.62,2.02,2.87,6.10,6.72,6.22,6.25
ROE(%),,4.42,5.67,14.34,16.72,12.84,10.87
ROA(%),,2.39,3.18,8.02,9.57,7.89,7.24
부채비율,90.46,80.11,76.74,80.73,69.66,56.77,43.96
자본유보율,"3,804.44","3,927.77","4,114.97","4,709.69",,,
EPS(원),"7,539","8,762","11,656","32,223","43,413","38,184","35,892"
PER(배),7.56,6.95,7.76,2.97,3.93,4.47,4.75
BPS(원),"195,374","201,388","212,582","242,703","283,407","319,001","350,255"
PBR(배),0.29,0.30,0.43,0.39,0.60,0.53,0.49
현금DPS(원),,"2,000","2,500","3,500","3,167","3,167","3,500"
현금배당수익률,,3.28,2.76,3.66,1.86,1.86,2.05
현금배당성향(%),72.53,22.83,21.17,10.72,7.29,8.29,9.75
발행주식수(보통주),"2,836,300","2,836,300","2,836,300","2,836,300",,,
