주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"163,583","168,656","182,700","165,199","217,796","250,358","260,323","274,845"
영업이익,"7,271","7,101","8,765","6,622","11,262","15,222","14,699","15,784"
영업이익(발표기준),"7,271","7,101","8,765","6,622","11,262",,,
세전계속사업이익,"8,893","6,263","7,273","7,665","9,852","14,532","14,618","15,949"
당기순이익,"6,805","4,374","5,023","6,061","7,832","11,191","11,229","12,257"
  당기순이익(지배),"6,805","4,374","5,023","6,062","7,829","11,192","11,227","12,255"
  당기순이익(비지배),0,0,0,-1,3,,,
자산총계,"81,857","86,878","101,297","108,987","121,709","134,212","143,239","153,634"
부채총계,"41,961","44,277","54,595","58,323","63,585","66,133","65,406","64,738"
자본총계,"39,895","42,602","46,703","50,664","58,124","68,079","77,834","88,896"
  자본총계(지배),"39,893","42,602","46,703","50,654","58,025","67,929","77,532","88,354"
  자본총계(비지배),2,,0,9,100,,,
자본금,188,188,188,188,188,189,189,189
영업활동현금흐름,"6,065","4,897","7,410","9,769","11,055","13,490","14,532","15,416"
투자활동현금흐름,"-3,449","-3,895","-3,426","-1,984","-3,494","-6,589","-6,108","-6,811"
재무활동현금흐름,"-2,977",76,"-3,641",-315,"-5,618","-2,474","-4,463","-4,416"
CAPEX,"3,675","1,812","1,967","1,234","3,080","5,132","5,143","5,307"
FCF,"2,391","3,084","5,443","8,535","7,975","8,411","8,614","9,700"
이자발생부채,"15,989","18,509","27,619","31,191","30,672",,,
영업이익률,4.45,4.21,4.80,4.01,5.17,6.08,5.65,5.74
순이익률,4.16,2.59,2.75,3.67,3.60,4.47,4.31,4.46
ROE(%),18.23,10.60,11.25,12.45,14.41,17.77,15.44,14.77
ROA(%),8.43,5.18,5.34,5.76,6.79,8.75,8.09,8.26
부채비율,105.18,103.93,116.90,115.12,109.39,97.14,84.03,72.82
자본유보율,"21,105.97","22,778.49","24,779.52","27,309.02","30,792.34",,,
EPS(원),"18,147","11,663","13,395","16,165","20,877","29,846","29,940","32,680"
PER(배),7.49,11.06,10.68,11.38,8.05,6.97,6.95,6.36
BPS(원),"106,381","113,605","124,541","135,079","154,732","181,144","206,752","235,609"
PBR(배),1.28,1.14,1.15,1.36,1.09,1.15,1.01,0.88
현금DPS(원),"3,000","3,300","3,500","3,500","3,800","4,008","4,158","4,400"
현금배당수익률,2.21,2.56,2.45,1.90,2.26,1.93,2.00,2.12
현금배당성향(%),16.53,28.29,26.13,21.65,18.20,13.43,13.89,13.46
발행주식수(보통주),"37,500,000","37,500,000","37,500,000","37,500,000","37,500,000",,,
