주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,784","1,740","1,592","1,347","1,222"
영업이익,362,339,295,146,110
영업이익(발표기준),362,339,295,146,110
세전계속사업이익,382,346,303,135,94
당기순이익,289,254,223,99,74
  당기순이익(지배),289,254,223,99,74
  당기순이익(비지배),,,,,
자산총계,"5,626","5,758","5,792","5,594","5,643"
부채총계,"1,728","1,412","1,313","1,073","1,063"
자본총계,"3,898","4,346","4,479","4,521","4,579"
  자본총계(지배),"3,898","4,346","4,479","4,521","4,579"
  자본총계(비지배),,,,,
자본금,410,410,410,410,410
영업활동현금흐름,314,93,262,60,140
투자활동현금흐름,-89,-210,-241,-84,-122
재무활동현금흐름,-164,-154,-90,-98,-14
CAPEX,14,279,73,17,22
FCF,300,-186,189,42,119
이자발생부채,578,443,372,286,283
영업이익률,20.29,19.50,18.55,10.84,9.02
순이익률,16.17,14.62,13.98,7.36,6.07
ROE(%),7.67,6.17,5.04,2.20,1.63
ROA(%),5.17,4.47,3.86,1.74,1.32
부채비율,44.32,32.48,29.32,23.74,23.22
자본유보율,865.22,922.21,969.89,985.37,999.37
EPS(원),703,619,542,241,181
PER(배),7.00,5.55,6.01,12.20,16.53
BPS(원),"10,322","11,509","11,861","11,971","12,126"
PBR(배),0.48,0.30,0.27,0.25,0.25
현금DPS(원),50,50,30,30,30
현금배당수익률,1.02,1.46,0.92,1.02,1.01
현금배당성향(%),6.54,7.43,5.09,11.43,15.29
발행주식수(보통주),"41,040,895","41,040,895","41,040,895","41,040,895","41,040,895"
