주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,203,286,919,"1,135","1,177","1,458","2,299","3,168"
영업이익,-9,6,126,151,98,203,303,437
영업이익(발표기준),-9,6,126,151,98,,,
세전계속사업이익,-15,2,113,154,107,220,326,
당기순이익,-15,2,94,156,90,193,287,
  당기순이익(지배),-15,2,94,156,90,193,287,
  당기순이익(비지배),,,,,,,,
자산총계,289,282,779,813,"3,435","3,606","4,067",
부채총계,205,196,402,281,364,339,514,
자본총계,84,86,377,532,"3,072","3,267","3,553",
  자본총계(지배),84,86,377,532,"3,072","3,267","3,553",
  자본총계(비지배),,,,,,,,
자본금,37,37,48,145,182,182,182,
영업활동현금흐름,19,45,226,74,152,233,332,
투자활동현금흐름,-53,-4,-202,-71,"-1,978",-80,-117,
재무활동현금흐름,36,-9,128,-41,"2,454",0,0,
CAPEX,40,5,52,104,109,85,127,
FCF,-21,41,174,-30,43,139,196,
이자발생부채,115,106,44,3,6,,,
영업이익률,-4.51,2.08,13.73,13.28,8.33,13.92,13.18,13.79
순이익률,-7.33,0.73,10.21,13.72,7.62,13.24,12.48,
ROE(%),-22.61,2.47,40.54,34.27,4.97,6.09,8.42,
ROA(%),-5.78,0.73,17.69,19.57,4.22,5.48,7.48,
부채비율,245.43,228.85,106.48,52.77,11.85,10.38,14.47,
자본유보율,128.18,134.04,678.90,266.38,"1,591.72",,,
EPS(원),-70,10,388,536,284,531,790,
PER(배),,,,,192.00,77.33,52.00,
BPS(원),380,390,"1,298","1,832","8,459","8,997","9,784",
PBR(배),0.00,0.00,0.00,0.00,6.44,4.57,4.20,
현금DPS(원),0,0,0,0,,0,0,
현금배당수익률,,,,,,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"21,991,710","21,991,710","29,050,530","29,050,530","36,313,190",,,
