주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"6,368","6,525","6,409","8,635","10,369","12,130","13,830","15,470"
영업이익,380,218,415,708,791,990,"1,150","1,290"
영업이익(발표기준),380,218,415,708,791,,,
세전계속사업이익,141,42,229,222,270,520,740,900
당기순이익,94,33,163,182,206,400,570,690
  당기순이익(지배),97,38,163,182,206,400,570,690
  당기순이익(비지배),-3,-5,,,,,,
자산총계,"12,122","11,732","16,452","22,271","28,602","27,960","27,640","28,440"
부채총계,"9,702","9,262","13,004","17,641","23,766","22,720","21,840","21,950"
자본총계,"2,419","2,470","3,447","4,631","4,837","5,240","5,800","6,490"
  자본총계(지배),"2,413","2,469","3,447","4,631","4,837","5,240","5,800","6,490"
  자본총계(비지배),6,,,,,,,
자본금,111,111,179,236,236,240,240,240
영업활동현금흐름,-496,-253,-549,"-1,238",-628,"5,070","5,270","5,320"
투자활동현금흐름,-249,349,363,-158,-262,"-2,310","-4,040","-4,040"
재무활동현금흐름,472,-100,471,"1,704","1,535","-1,410","-1,390",-380
CAPEX,197,65,20,40,118,"4,000","4,000","4,000"
FCF,-693,-319,-569,"-1,278",-745,,,
이자발생부채,"8,476","8,038","11,311","15,450","20,246",,,
영업이익률,5.97,3.35,6.48,8.20,7.62,8.16,8.31,8.34
순이익률,1.48,0.51,2.54,2.11,1.99,3.30,4.12,4.46
ROE(%),4.10,1.55,5.51,4.50,4.35,7.94,10.33,11.23
ROA(%),0.79,0.28,1.16,0.94,0.81,1.41,2.05,2.46
부채비율,401.06,375.06,377.22,380.97,491.38,433.59,376.55,338.21
자본유보율,"2,364.05","2,407.62","2,444.97","2,319.48","2,405.02",,,
EPS(원),440,171,735,469,435,846,"1,205","1,459"
PER(배),22.54,71.86,16.06,19.28,23.54,11.79,8.27,6.83
BPS(원),"10,937","11,193","9,893","10,198","10,651","11,540","12,773","14,293"
PBR(배),0.91,1.10,1.19,0.89,0.96,0.86,0.78,0.70
현금DPS(원),0,0,0,,,0,0,0
현금배당수익률,0.00,0.00,0.00,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"22,146,300","22,146,300","35,765,140","47,285,840","47,285,840",,,
