주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,"2,453","2,600","2,419","2,352","2,501","2,589","2,676"
영업이익,469,587,449,322,339,357,351
영업이익(발표기준),469,587,449,322,339,,
세전계속사업이익,465,592,219,328,349,364,361
당기순이익,358,249,119,279,284,283,280
  당기순이익(지배),358,249,119,279,284,283,280
  당기순이익(비지배),,,,,,,
자산총계,"2,418","2,526","2,442","2,690","3,325","3,095","3,285"
부채총계,484,547,467,556,983,561,571
자본총계,"1,935","1,979","1,975","2,135","2,342","2,534","2,714"
  자본총계(지배),"1,935","1,979","1,975","2,135","2,342","2,534","2,714"
  자본총계(비지배),,,,,,,
자본금,139,139,139,139,139,139,139
영업활동현금흐름,373,301,236,239,240,327,326
투자활동현금흐름,-86,-66,-118,-322,-716,-82,-91
재무활동현금흐름,-187,-147,-106,-47,366,-100,-100
CAPEX,91,79,86,296,729,80,90
FCF,282,222,150,-57,-490,246,236
이자발생부채,40,0,15,83,545,,
영업이익률,19.14,22.57,18.56,13.71,13.56,13.79,13.12
순이익률,14.59,9.57,4.91,11.86,11.36,10.93,10.46
ROE(%),19.71,12.72,6.01,13.57,12.69,11.61,10.67
ROA(%),15.25,10.06,4.78,10.87,9.44,8.82,8.78
부채비율,25.01,27.66,23.64,26.04,41.99,22.14,21.04
자본유보율,"1,450.60","1,498.42","1,489.22","1,613.48","1,762.49",,
EPS(원),"2,575","1,790",855,"2,006","2,043","2,036","2,014"
PER(배),13.92,22.43,29.19,13.59,12.87,12.11,12.24
BPS(원),"15,725","16,086","16,051","17,350","19,034","20,597","22,060"
PBR(배),2.28,2.50,1.55,1.57,1.38,1.20,1.12
현금DPS(원),800,800,800,800,800,720,710
현금배당수익률,2.23,1.99,3.21,2.94,3.04,2.92,2.88
현금배당성향(%),27.50,39.55,82.84,35.30,34.65,35.36,35.25
발행주식수(보통주),"13,900,000","13,900,000","13,900,000","13,900,000","13,900,000",,
