주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,692,761,884,168,"1,071","2,994","4,527","5,710"
영업이익,51,30,-162,-714,"-1,312",246,"1,127","1,606"
영업이익(발표기준),51,30,-162,-714,"-1,312",,,
세전계속사업이익,40,"-1,017",-138,-815,"-2,084",-397,513,790
당기순이익,34,"-1,129",-147,-821,"-2,007",-396,402,599
  당기순이익(지배),33,"-1,085",-145,-819,"-2,006",-396,393,598
  당기순이익(비지배),0,-44,-2,-1,-1,,,
자산총계,"4,018","5,068","5,750","11,984","13,024","12,210","12,736","13,922"
부채총계,"2,293","2,258","2,693","9,724","12,497","12,015","12,144","12,905"
자본총계,"1,725","2,810","3,057","2,261",527,195,592,"1,017"
  자본총계(지배),"1,707","2,836","3,089","2,295",562,235,622,"1,052"
  자본총계(비지배),17,,-33,-34,-35,,,
자본금,227,326,346,346,346,372,372,360
영업활동현금흐름,65,21,-233,"-1,145",-509,706,"1,233","1,358"
투자활동현금흐름,-32,"-2,119",-381,"-5,789",-741,-271,-251,-445
재무활동현금흐름,299,"1,765",646,"7,353","1,274",-244,-286,-65
CAPEX,51,98,"2,117","5,525",875,288,260,500
FCF,14,-78,"-2,350","-6,670","-1,384",600,"1,120","1,475"
이자발생부채,404,294,690,"8,239","11,196",,,
영업이익률,7.31,3.95,-18.27,-425.68,-122.58,8.22,24.90,28.13
순이익률,4.88,-148.37,-16.60,-489.39,-187.44,-13.24,8.89,10.49
ROE(%),1.99,-47.74,-4.90,-30.43,-140.42,-99.50,91.68,71.43
ROA(%),0.89,-24.85,-2.71,-9.25,-16.05,-3.14,3.23,4.49
부채비율,132.97,80.38,88.11,430.05,"2,371.97","6,172.26","2,052.56","1,268.93"
자본유보율,652.28,757.26,756.57,522.22,14.31,,,
EPS(원),67,"-2,048",-213,"-1,183","-2,895",-554,544,828
PER(배),146.77,N/A,N/A,N/A,N/A,N/A,27.83,18.29
BPS(원),"3,401","4,353","4,460","3,313",811,325,862,"1,457"
PBR(배),2.87,3.34,3.21,4.53,21.64,46.55,17.58,10.40
현금DPS(원),0,0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"50,209,620","65,163,174","69,275,662","69,275,662","69,275,662",,,
