주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,924,"3,014","5,872","7,963","12,559","19,681","21,785","23,440"
영업이익,325,799,987,"1,455","1,902","3,354","3,904","4,322"
영업이익(발표기준),325,799,987,"1,455","1,902",,,
세전계속사업이익,316,-484,985,"1,262","2,105","3,604","4,173","4,638"
당기순이익,246,-705,724,871,"1,408","2,549","2,974","3,302"
  당기순이익(지배),246,-705,738,857,"1,368","2,477","2,875","3,156"
  당기순이익(비지배),,,-14,13,40,,,
자산총계,612,"2,055","3,630","19,244","47,289","51,032","54,742","59,891"
부채총계,207,"1,183","1,895","7,255","18,423","19,712","20,354","21,540"
자본총계,405,873,"1,735","11,989","28,866","31,320","34,389","38,351"
  자본총계(지배),405,873,"1,742","11,953","28,119","30,505","33,494","37,330"
  자본총계(비지배),,,-7,36,747,,,
자본금,8,8,8,178,207,209,209,210
영업활동현금흐름,392,747,917,"1,167","1,773","3,664","4,023","4,239"
투자활동현금흐름,-168,-451,122,"-10,224","-21,102","-3,644","-2,321","-2,713"
재무활동현금흐름,,-14,-14,"11,334","22,263",832,293,-34
CAPEX,14,66,48,395,540,364,390,494
FCF,378,681,869,772,"1,232","3,263","3,360","3,692"
이자발생부채,0,171,145,"3,431","12,259",,,
영업이익률,35.22,26.52,16.81,18.27,15.15,17.04,17.92,18.44
순이익률,26.59,-23.38,12.33,10.93,11.21,12.95,13.65,14.09
ROE(%),87.56,,56.47,12.52,6.83,8.45,8.98,8.91
ROA(%),61.24,,25.48,7.61,4.23,5.18,5.62,5.76
부채비율,50.97,135.54,109.19,60.51,63.82,62.94,59.19,56.16
자본유보율,"4,579.94","10,878.28","20,569.19","6,604.12","13,180.02",,,
EPS(원),918,"-2,536","2,574","2,811","3,606","5,990","6,951","7,631"
PER(배),,,,56.35,96.79,35.89,30.93,28.17
BPS(원),"1,505","3,053","6,046","33,159","67,998","73,767","80,995","90,272"
PBR(배),0.00,0.00,0.00,4.78,5.13,2.91,2.65,2.38
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,,,,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"17,000,958","25,027,960","27,034,427","36,048,100","41,353,387",,,
