주요재무정보,"2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"11,168","18,125","18,172","24,530","29,815","31,130","31,016"
영업이익,650,"1,539",609,"1,486","1,716","3,254","2,847"
영업이익(발표기준),650,"1,539",609,"1,486",,,
세전계속사업이익,274,"1,100",34,"1,144","1,366","2,931","2,556"
당기순이익,204,878,-116,704,"1,025","2,246","1,953"
  당기순이익(지배),204,878,-116,704,"1,025","2,247","1,953"
  당기순이익(비지배),,,,,,,
자산총계,"16,532","20,635","24,174","30,562","31,757","34,427","37,673"
부채총계,"12,860","16,088","20,150","25,547","25,759","26,142","28,446"
자본총계,"3,672","4,547","4,024","5,015","5,998","8,285","9,227"
  자본총계(지배),"3,672","4,547","4,024","5,015","5,962","8,310","9,227"
  자본총계(비지배),,,,,,,
자본금,160,160,160,160,160,160,160
영업활동현금흐름,768,"1,632","1,683",687,"4,208","5,463","5,327"
투자활동현금흐름,"-1,452","-5,524","-5,535","-3,074","-1,589","-1,334","-1,251"
재무활동현금흐름,"-1,349","3,517","3,568","2,627",81,-502,112
CAPEX,836,"4,809","5,558","3,283","1,690","1,335",660
FCF,-68,"-3,176","-3,874","-2,596","2,194","3,780","3,778"
이자발생부채,"9,827","13,465","16,743","20,313",,,
영업이익률,5.82,8.49,3.35,6.06,5.76,10.45,9.18
순이익률,1.83,4.85,-0.64,2.87,3.44,7.22,6.30
ROE(%),,21.37,-2.71,15.58,18.67,31.48,22.28
ROA(%),,4.73,-0.52,2.57,3.29,6.79,5.42
부채비율,350.17,353.81,500.81,509.47,429.46,315.52,308.29
자본유보율,"2,177.03","2,677.90","2,486.25","2,928.97",,,
EPS(원),"11,059","27,530","-3,641","22,073","32,125","70,426","61,231"
PER(배),12.84,5.25,N/A,13.75,6.24,2.85,3.27
BPS(원),"115,567","143,089","126,614","157,800","187,602","261,515","290,359"
PBR(배),1.23,1.01,1.24,1.92,1.07,0.77,0.69
현금DPS(원),"1,000","5,000",,,"1,333","1,667","1,667"
현금배당수익률,0.70,3.46,,,0.67,0.83,0.83
현금배당성향(%),15.58,18.09,0.00,,4.15,2.37,2.72
발행주식수(보통주),"3,190,126","3,190,126","3,190,126","3,190,126",,,
