주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,"2,238","2,484","2,339","2,448","2,629"
영업이익,34,50,40,39,46
영업이익(발표기준),34,50,40,39,46
세전계속사업이익,37,56,44,45,54
당기순이익,25,36,32,30,36
  당기순이익(지배),25,36,32,30,35
  당기순이익(비지배),,,,,1
자산총계,"1,017",913,"1,034","1,071","1,097"
부채총계,658,528,624,635,597
자본총계,359,385,411,437,500
  자본총계(지배),359,385,411,437,466
  자본총계(비지배),,,,,35
자본금,102,102,102,102,102
영업활동현금흐름,24,-83,166,100,-102
투자활동현금흐름,-165,134,-164,-31,94
재무활동현금흐름,20,-6,-49,-27,-43
CAPEX,19,10,6,4,7
FCF,4,-93,160,96,-109
이자발생부채,23,20,27,41,71
영업이익률,1.54,2.02,1.70,1.59,1.73
순이익률,1.10,1.44,1.35,1.21,1.37
ROE(%),7.11,9.62,7.94,6.97,
ROA(%),2.41,3.71,3.24,2.80,
부채비율,182.93,137.27,151.87,145.39,119.23
자본유보율,256.51,290.57,315.76,337.52,368.02
EPS(원),120,175,154,144,169
PER(배),11.97,7.76,11.26,12.01,11.73
BPS(원),"1,754","1,878","2,004","2,130","2,273"
PBR(배),0.82,0.72,0.87,0.81,0.87
현금DPS(원),15,15,25,25,25
현금배당수익률,1.04,1.11,1.44,1.45,1.26
현금배당성향(%),12.47,8.59,16.23,17.36,14.78
발행주식수(보통주),"20,493,012","20,493,012","20,493,012","20,493,012","20,493,012"
