주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"7,037","7,667","7,657","7,467","10,208","9,335","9,673"
영업이익,300,238,484,641,447,505,529
영업이익(발표기준),300,238,484,641,447,,
세전계속사업이익,354,157,556,835,642,666,690
당기순이익,271,120,431,644,492,516,535
  당기순이익(지배),265,111,417,633,481,511,529
  당기순이익(비지배),6,10,14,11,11,,
자산총계,"5,481","5,353","5,379","6,370","7,771","7,507","7,922"
부채총계,"1,053",916,556,"1,034","1,991","1,458","1,475"
자본총계,"4,428","4,437","4,823","5,336","5,781","6,049","6,447"
  자본총계(지배),"4,346","4,350","4,727","5,235","5,664","5,948","6,346"
  자본총계(비지배),82,,96,101,116,,
자본금,242,242,242,242,242,242,242
영업활동현금흐름,393,214,655,"1,067",120,948,642
투자활동현금흐름,-412,-395,-426,-526,-640,-245,-312
재무활동현금흐름,-218,-103,-295,-109,614,-136,-136
CAPEX,235,329,234,187,481,282,284
FCF,158,-115,421,880,-361,,
이자발생부채,242,239,94,130,913,,
영업이익률,4.26,3.11,6.33,8.59,4.38,5.41,5.47
순이익률,3.85,1.57,5.62,8.63,4.82,5.53,5.53
ROE(%),6.19,2.54,9.18,12.70,8.83,8.80,8.61
ROA(%),5.02,2.22,8.02,10.96,6.97,6.75,6.93
부채비율,23.78,20.65,11.52,19.37,34.44,24.10,22.88
자본유보율,"1,691.25","1,711.56","1,864.22","2,077.28","2,225.74",,
EPS(원),"5,475","2,284","8,606","13,074","9,946","10,558","10,930"
PER(배),12.77,22.94,6.46,4.20,5.39,4.88,4.71
BPS(원),"91,390","91,476","99,402","110,098","119,120","125,084","133,453"
PBR(배),0.76,0.57,0.56,0.50,0.45,0.41,0.39
현금DPS(원),"2,000","2,000","2,500","2,750","2,750","2,750","2,750"
현금배당수익률,2.86,3.82,4.50,5.01,5.13,5.34,5.34
현금배당성향(%),35.89,86.02,28.54,20.67,27.17,26.05,25.16
발행주식수(보통주),"4,840,000","4,840,000","4,840,000","4,840,000","4,840,000",,
