주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,065","2,127","2,275","2,483","2,703"
영업이익,84,148,87,143,168
영업이익(발표기준),84,148,87,143,168
세전계속사업이익,129,111,74,176,175
당기순이익,101,49,40,133,161
  당기순이익(지배),102,55,45,126,159
  당기순이익(비지배),-1,-7,-5,7,2
자산총계,"3,359","3,573","3,709","3,715","3,888"
부채총계,"1,437","1,558","1,690","1,602","1,520"
자본총계,"1,922","2,015","2,019","2,114","2,368"
  자본총계(지배),"1,769","1,830","1,840","1,927","2,124"
  자본총계(비지배),152,,179,186,244
자본금,108,108,108,108,108
영업활동현금흐름,158,106,-10,159,108
투자활동현금흐름,-128,-128,63,68,-58
재무활동현금흐름,8,16,-61,-209,74
CAPEX,121,157,29,32,60
FCF,37,-51,-39,127,48
이자발생부채,795,846,945,824,801
영업이익률,4.09,6.94,3.82,5.75,6.20
순이익률,4.88,2.29,1.76,5.35,5.96
ROE(%),5.83,3.08,2.47,6.69,7.85
ROA(%),3.07,1.41,1.10,3.58,4.24
부채비율,74.80,77.34,83.70,75.77,64.18
자본유보율,"1,589.10","1,710.20","1,712.11","1,792.16","1,936.34"
EPS(원),468,255,209,581,786
PER(배),12.84,42.32,54.24,20.64,15.58
BPS(원),"9,905","10,244","10,302","10,789","11,888"
PBR(배),0.61,1.05,1.10,1.11,1.03
현금DPS(원),295,250,220,250,350
현금배당수익률,4.91,2.31,1.94,2.08,2.86
현금배당성향(%),51.90,80.68,86.59,35.41,39.34
발행주식수(보통주),"21,691,750","21,691,750","21,691,750","21,691,750","19,522,575"
