주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,672,882,765,620,678
영업이익,29,48,13,-22,-8
영업이익(발표기준),29,48,13,-22,-8
세전계속사업이익,43,35,-21,-39,-32
당기순이익,44,33,-15,-40,-12
  당기순이익(지배),44,33,-15,-40,-12
  당기순이익(비지배),,,,,
자산총계,699,718,842,777,765
부채총계,224,215,362,334,336
자본총계,475,503,480,443,430
  자본총계(지배),475,503,480,443,430
  자본총계(비지배),,,,,
자본금,23,23,23,23,23
영업활동현금흐름,-6,17,53,-67,126
투자활동현금흐름,16,13,-130,170,-13
재무활동현금흐름,-8,-18,90,-17,-11
CAPEX,26,20,20,8,4
FCF,-32,-3,33,-76,122
이자발생부채,98,84,247,235,224
영업이익률,4.33,5.41,1.71,-3.51,-1.14
순이익률,6.59,3.76,-1.95,-6.49,-1.77
ROE(%),9.68,6.79,-3.03,-8.71,-2.75
ROA(%),6.49,4.69,-1.91,-4.97,-1.56
부채비율,47.07,42.73,75.28,75.41,78.06
자본유보율,"2,060.42","2,168.90","2,069.52","1,891.32","1,839.98"
EPS(원),978,732,-328,-887,-265
PER(배),49.41,48.76,N/A,N/A,N/A
BPS(원),"13,103","13,872","13,249","12,213","11,859"
PBR(배),3.69,2.57,2.34,3.03,2.18
현금DPS(원),100,100,100,,
현금배당수익률,0.21,0.28,0.32,,
현금배당성향(%),8.18,10.92,-24.36,0.00,
발행주식수(보통주),"4,532,000","4,532,000","4,532,000","4,532,000","4,532,000"
