주요재무정보,"2017/11
(IFRS별도)","2018/11
(IFRS별도)","2019/11
(IFRS별도)","2020/11
(IFRS별도)","2021/11
(IFRS별도)"
매출액,"1,276","1,308","1,346","1,330","1,398"
영업이익,-12,-27,20,31,-16
영업이익(발표기준),-12,-27,20,31,-16
세전계속사업이익,-18,-31,15,27,-40
당기순이익,-16,-21,12,22,-32
  당기순이익(지배),-16,-21,12,22,-32
  당기순이익(비지배),,,,,
자산총계,"1,429","1,461","1,464","1,575","1,639"
부채총계,606,580,630,674,773
자본총계,823,881,834,901,866
  자본총계(지배),823,881,834,901,866
  자본총계(비지배),,,,,
자본금,140,160,160,160,160
영업활동현금흐름,-14,34,57,108,51
투자활동현금흐름,20,-60,-27,-124,0
재무활동현금흐름,-10,18,-29,75,33
CAPEX,23,20,9,6,13
FCF,-36,14,48,102,38
이자발생부채,295,210,210,246,298
영업이익률,-0.96,-2.03,1.52,2.30,-1.12
순이익률,-1.29,-1.61,0.90,1.65,-2.27
ROE(%),-1.82,-2.47,1.41,2.52,-3.59
ROA(%),-1.13,-1.46,0.83,1.44,-1.98
부채비율,73.68,65.79,75.51,74.73,89.21
자본유보율,582.05,551.34,541.21,562.58,537.97
EPS(원),-57,-66,38,68,-99
PER(배),N/A,N/A,135.88,94.81,N/A
BPS(원),"3,376","3,218","3,091","3,233","3,106"
PBR(배),1.11,1.56,1.67,2.00,1.59
현금DPS(원),49,45,45,42,30
현금배당수익률,1.29,0.90,0.87,0.66,0.61
현금배당성향(%),-71.82,-58.50,100.14,54.17,-26.36
발행주식수(보통주),"28,779,275","32,000,000","32,000,000","32,000,000","32,000,000"
