주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"12,979","13,767","15,977","18,296","20,651","21,938","23,955"
영업이익,311,423,555,812,"1,116","1,338","1,535"
영업이익(발표기준),311,423,555,812,"1,116",,
세전계속사업이익,998,153,121,241,"1,076","1,310","1,505"
당기순이익,953,-5,117,264,"1,481","1,090","1,140"
  당기순이익(지배),953,-5,117,264,"1,481","1,090","1,140"
  당기순이익(비지배),,,,,,,
자산총계,"12,849","11,822","13,374","13,772","17,360","15,420","16,185"
부채총계,"8,922","8,259","9,609","9,870","10,832","9,370","9,145"
자본총계,"3,927","3,563","3,765","3,903","6,528","6,050","7,040"
  자본총계(지배),"3,927","3,563","3,765","3,903","6,528","6,050","7,040"
  자본총계(비지배),,,,,,,
자본금,"1,807","1,816","1,816","1,846","1,846","1,835","1,835"
영업활동현금흐름,759,557,623,"1,053","1,812","2,075","2,150"
투자활동현금흐름,-103,-178,32,-85,-305,-140,-140
재무활동현금흐름,-826,-507,-293,-687,-410,-505,-410
CAPEX,5,4,18,0,3,50,50
FCF,754,553,605,"1,052","1,809","1,545","1,625"
이자발생부채,"2,172","1,923","2,268","1,885","1,785",,
영업이익률,2.39,3.07,3.47,4.44,5.40,6.10,6.41
순이익률,7.34,-0.03,0.73,1.44,7.17,4.97,4.76
ROE(%),27.07,-0.13,3.20,6.89,28.40,17.32,17.42
ROA(%),7.45,-0.04,0.93,1.95,9.52,6.65,7.21
부채비율,227.20,231.80,255.23,252.88,165.92,154.88,129.90
자본유보율,124.08,128.67,138.41,137.84,210.11,,
EPS(원),"2,652",-13,323,719,"4,011","2,933","3,061"
PER(배),3.59,N/A,35.65,12.63,2.89,3.37,3.23
BPS(원),"11,115","10,103","10,676","10,882","18,202","16,720","19,455"
PBR(배),0.86,1.17,1.08,0.83,0.64,0.59,0.51
현금DPS(원),500,500,500,500,800,650,700
현금배당수익률,5.26,4.24,4.35,5.51,6.90,6.57,7.08
현금배당성향(%),18.56,"-3,750.33",150.62,67.92,19.38,22.05,22.69
발행주식수(보통주),"35,849,527","36,035,349","36,035,349","36,633,924","36,633,924",,
