주요재무정보,"2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"17,675","30,536","23,946","35,978","39,863","41,484","43,233"
영업이익,641,"1,583",342,"4,373","4,230","4,065","4,357"
영업이익(발표기준),641,"1,583",342,"4,373",,,
세전계속사업이익,-54,523,11,"4,118","3,966","3,824","4,113"
당기순이익,-237,-529,68,"3,300","3,066","2,940","3,166"
  당기순이익(지배),-265,-700,1,"2,507","2,432","2,344","2,423"
  당기순이익(비지배),27,171,67,793,,,
자산총계,"25,347","25,311","23,766","29,087","31,704","34,474","36,623"
부채총계,"20,687","21,257","19,955","21,871","21,975","22,263","22,133"
자본총계,"4,660","4,054","3,811","7,216","9,729","12,211","14,490"
  자본총계(지배),"3,858","3,234","3,128","6,040","8,062","10,087","11,711"
  자본총계(비지배),,820,683,"1,176",,,
자본금,224,224,224,224,221,221,222
영업활동현금흐름,910,"1,270","3,124","2,347","6,007","5,873","5,643"
투자활동현금흐름,"-1,043","-2,229","-1,487",-891,"-1,416","-1,454","-1,479"
재무활동현금흐름,"-1,919",509,"-1,424","-1,637",-739,-794,-609
CAPEX,"1,067","2,382","1,610","1,482","1,974","1,984","1,898"
FCF,-157,"-1,112","1,514",865,"3,156","3,432","3,720"
이자발생부채,"16,414","17,575","16,110","15,498",,,
영업이익률,3.63,5.18,1.43,12.16,10.61,9.80,10.08
순이익률,-1.34,-1.73,0.28,9.17,7.69,7.09,7.32
ROE(%),,-19.74,0.03,54.69,34.50,25.84,22.23
ROA(%),,-2.09,0.28,12.49,10.09,8.89,8.91
부채비율,443.91,524.35,523.60,303.09,225.87,182.32,152.75
자본유보율,"1,596.29","1,264.96","1,262.48","2,372.60",,,
EPS(원),"-10,218","-15,622",18,"55,960","54,294","52,329","54,077"
PER(배),N/A,N/A,"8,489.96",10.65,8.38,8.69,8.41
BPS(원),"86,348","72,388","70,017","135,183","180,438","225,756","262,107"
PBR(배),1.19,1.53,2.13,4.41,2.52,2.02,1.74
현금DPS(원),0,0,0,"10,000","10,000","10,000","10,000"
현금배당수익률,0.00,0.00,0.00,1.68,2.20,2.20,2.20
현금배당성향(%),0.00,0.00,0.00,17.82,18.42,19.11,18.49
발행주식수(보통주),"4,479,948","4,479,948","4,479,948","4,479,948",,,
