주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,"11,224","12,427","11,872","10,098","14,519"
영업이익,281,170,153,264,205
영업이익(발표기준),281,170,153,264,205
세전계속사업이익,347,157,220,324,245
당기순이익,267,84,160,250,217
  당기순이익(지배),269,84,160,250,217
  당기순이익(비지배),-1,-1,,,0
자산총계,"5,572","5,479","5,811","5,894","7,191"
부채총계,"1,358","1,232","1,472","1,365","2,475"
자본총계,"4,214","4,247","4,340","4,529","4,716"
  자본총계(지배),"4,212","4,247","4,340","4,529","4,674"
  자본총계(비지배),2,,,,42
자본금,497,497,497,497,497
영업활동현금흐름,307,80,453,525,"-1,181"
투자활동현금흐름,-193,"-1,066",-288,-334,757
재무활동현금흐름,189,-54,-1,-110,477
CAPEX,193,128,121,151,169
FCF,115,-48,332,374,"-1,349"
이자발생부채,455,432,512,434,947
영업이익률,2.51,1.37,1.29,2.61,1.41
순이익률,2.38,0.67,1.35,2.48,1.49
ROE(%),6.56,1.97,3.74,5.65,
ROA(%),4.91,1.51,2.84,4.28,
부채비율,32.22,29.01,33.91,30.14,52.48
자본유보율,763.21,770.25,788.85,826.12,854.75
EPS(원),541,168,323,504,436
PER(배),19.80,68.42,25.27,16.29,24.08
BPS(원),"8,784","8,857","9,051","9,446","9,748"
PBR(배),1.22,1.30,0.90,0.87,1.08
현금DPS(원),80,50,60,80,60
현금배당수익률,0.75,0.43,0.74,0.97,0.57
현금배당성향(%),14.29,28.51,17.94,15.32,13.28
발행주식수(보통주),"49,678,843","49,678,843","49,678,843","49,678,843","49,678,843"
