주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"2,837","2,863","2,996","2,532","2,879"
영업이익,139,179,202,71,224
영업이익(발표기준),139,179,202,71,224
세전계속사업이익,152,187,212,112,241
당기순이익,125,150,166,90,192
  당기순이익(지배),125,150,166,90,192
  당기순이익(비지배),,,,,
자산총계,"2,469","2,590","2,637","2,529","2,801"
부채총계,739,733,645,494,591
자본총계,"1,730","1,856","1,992","2,035","2,210"
  자본총계(지배),"1,730","1,856","1,992","2,035","2,210"
  자본총계(비지배),,,,,
자본금,269,269,269,269,269
영업활동현금흐름,-24,169,89,129,307
투자활동현금흐름,-46,-177,43,-140,-184
재무활동현금흐름,-22,-22,-49,-61,-36
CAPEX,46,44,48,56,72
FCF,-70,125,41,72,235
이자발생부채,0,0,20,21,18
영업이익률,4.89,6.25,6.76,2.82,7.79
순이익률,4.40,5.22,5.55,3.56,6.68
ROE(%),7.44,8.34,8.65,4.48,9.06
ROA(%),5.03,5.92,6.37,3.49,7.22
부채비율,42.73,39.50,32.40,24.26,26.72
자본유보율,546.88,589.97,639.49,656.05,722.25
EPS(원),276,331,376,204,435
PER(배),9.85,6.96,6.64,9.30,5.27
BPS(원),"3,906","4,192","4,498","4,597","4,991"
PBR(배),0.70,0.55,0.55,0.41,0.46
현금DPS(원),50,80,100,40,90
현금배당수익률,1.84,3.47,4.01,2.11,3.93
현금배당성향(%),17.74,23.68,26.61,19.64,20.71
발행주식수(보통주),"45,282,310","44,282,310","44,282,310","44,282,310","44,282,310"
