주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)"
매출액,"1,004","1,029","1,111","1,177","1,333","1,596"
영업이익,-138,-63,-9,13,26,96
영업이익(발표기준),-138,-63,-9,13,26,
세전계속사업이익,-298,-77,-17,7,28,106
당기순이익,-318,-78,-19,12,36,91
  당기순이익(지배),-215,-69,-20,2,35,90
  당기순이익(비지배),-103,-9,1,9,2,
자산총계,"1,127","1,052","1,070","1,090","1,177","1,273"
부채총계,582,589,627,632,671,685
자본총계,545,463,443,457,505,588
  자본총계(지배),531,459,437,441,487,567
  자본총계(비지배),14,,6,16,18,
자본금,170,170,170,170,170,170
영업활동현금흐름,-57,-38,54,108,71,146
투자활동현금흐름,77,-36,-86,-74,-80,5
재무활동현금흐름,46,14,3,-10,36,36
CAPEX,28,44,95,80,82,0
FCF,-85,-82,-42,28,-11,146
이자발생부채,350,352,355,324,370,
영업이익률,-13.74,-6.09,-0.82,1.12,1.94,6.02
순이익률,-31.69,-7.59,-1.70,0.98,2.73,5.70
ROE(%),-31.20,-13.92,-4.49,0.49,7.50,17.07
ROA(%),-23.61,-7.17,-1.78,1.07,3.20,7.43
부채비율,106.80,127.04,141.41,138.23,132.81,116.50
자본유보율,212.46,169.54,156.81,161.25,184.99,
EPS(원),-631,-203,-59,6,102,265
PER(배),N/A,N/A,N/A,410.89,29.30,12.03
BPS(원),"1,562","1,349","1,286","1,298","1,434","1,668"
PBR(배),0.73,0.61,0.78,2.00,2.09,1.91
현금DPS(원),,,,,,0
현금배당수익률,,,,,,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,
발행주식수(보통주),"34,000,000","34,000,000","34,000,000","34,000,000","34,000,000",
