주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"504,044","487,402","504,124","509,265","528,361","555,681","585,673","613,270"
영업이익,"21,589","18,061","11,257","15,490","29,279","25,192","28,497","29,428"
영업이익(발표기준),"21,589","18,061","11,257","15,490","29,279",,,
세전계속사업이익,"19,951","12,998","2,533","10,708","30,707","23,886","26,717","27,193"
당기순이익,"13,109","7,993","2,311","7,075","21,621","16,707","18,701","19,336"
  당기순이익(지배),"4,054","4,684",900,"1,967","9,011","7,055","8,065","8,188"
  당기순이익(비지배),"9,056","3,309","1,411","5,109","12,610",,,
자산총계,"1,601,950","1,695,486","1,822,862","1,911,783","2,023,664","2,062,583","2,112,401","2,225,812"
부채총계,"1,442,302","1,525,955","1,640,222","1,734,606","1,813,191","1,840,470","1,872,080","1,962,625"
자본총계,"159,647","169,530","182,640","177,177","210,473","222,110","240,320","263,189"
  자본총계(지배),"45,413","41,854","44,253","40,991","48,136","54,443","61,008","64,205"
  자본총계(비지배),"114,235",,"138,387","136,186","162,337",,,
자본금,"4,896","4,896","4,896","4,896","4,896","4,899","4,899","4,898"
영업활동현금흐름,"51,385","27,492","25,179","34,429","72,281","45,080","51,369","68,558"
투자활동현금흐름,"-56,658","-26,322","-39,876","-18,865","-83,482","-36,878","-32,311","-40,029"
재무활동현금흐름,"-3,049","19,913","9,917","-5,487","24,839","2,191","3,519","5,240"
CAPEX,"9,678","15,305","17,067","12,482","12,163","10,826","11,420","12,184"
FCF,"41,707","12,187","8,112","21,947","60,118","59,351","25,646","44,252"
이자발생부채,"109,442","128,624","141,271","139,948","145,814",,,
영업이익률,4.28,3.71,2.23,3.04,5.54,4.53,4.87,4.80
순이익률,2.60,1.64,0.46,1.39,4.09,3.01,3.19,3.15
ROE(%),9.06,10.73,2.09,4.61,20.22,13.76,13.97,13.08
ROA(%),0.83,0.49,0.13,0.38,1.10,0.82,0.90,0.89
부채비율,903.43,900.11,898.06,979.02,861.49,828.63,779.00,745.71
자본유보율,799.15,849.07,834.76,789.51,"1,045.63",,,
EPS(원),"4,140","4,784",919,"2,009","9,203","7,205","8,237","8,363"
PER(배),10.02,6.55,27.21,14.09,3.41,3.95,3.45,3.40
BPS(원),"49,346","45,478","48,086","44,629","52,527","59,596","66,782","70,282"
PBR(배),0.84,0.69,0.52,0.63,0.60,0.48,0.43,0.40
현금DPS(원),600,700,700,700,750,761,789,792
현금배당수익률,1.45,2.23,2.80,2.47,2.39,2.68,2.77,2.78
현금배당성향(%),13.88,13.25,72.88,33.27,7.75,8.09,7.33,7.25
발행주식수(보통주),"74,958,735","74,958,735","74,958,735","74,958,735","74,958,735",,,
