주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,661,836,"1,088","1,262","1,233"
영업이익,36,132,179,153,95
영업이익(발표기준),36,132,179,153,95
세전계속사업이익,50,94,154,111,27
당기순이익,59,117,162,112,35
  당기순이익(지배),59,108,150,109,36
  당기순이익(비지배),,9,12,3,-1
자산총계,928,"1,186","1,697","2,858","3,359"
부채총계,546,557,810,"1,822","2,079"
자본총계,382,628,887,"1,036","1,280"
  자본총계(지배),349,586,833,978,"1,092"
  자본총계(비지배),33,,54,58,188
자본금,255,302,336,344,363
영업활동현금흐름,21,-68,59,192,258
투자활동현금흐름,-41,-83,-335,"-1,069",-577
재무활동현금흐름,51,142,263,917,344
CAPEX,28,81,190,406,499
FCF,-8,-149,-131,-214,-240
이자발생부채,442,459,652,"1,596","1,693"
영업이익률,5.51,15.75,16.48,12.14,7.71
순이익률,8.89,14.00,14.88,8.87,2.86
ROE(%),,23.10,21.11,12.01,3.49
ROA(%),,11.08,11.23,4.92,1.14
부채비율,143.06,88.68,91.26,175.91,162.47
자본유보율,3.87,67.60,123.41,157.71,175.51
EPS(원),115,196,234,159,52
PER(배),11.42,7.65,7.74,8.88,24.95
BPS(원),685,972,"1,255","1,442","1,521"
PBR(배),1.92,1.54,1.44,0.98,0.85
현금DPS(원),0,0,0,50,30
현금배당수익률,0.00,0.00,0.00,3.53,2.33
현금배당성향(%),0.00,0.00,0.00,31.19,59.60
발행주식수(보통주),"50,980,259","60,370,076","67,272,282","68,710,343","72,688,462"
