주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"6,243","6,429","6,522","6,461","8,139","9,160","9,790"
영업이익,342,340,217,140,268,440,510
영업이익(발표기준),342,340,217,140,268,,
세전계속사업이익,339,307,"-1,928",35,554,390,450
당기순이익,249,223,"-1,506",4,442,290,340
  당기순이익(지배),249,222,"-1,509",10,433,280,330
  당기순이익(비지배),0,1,3,-6,8,,
자산총계,"5,340","6,533","24,536","6,661","7,716","7,550","7,600"
부채총계,"2,310","3,343","19,818","2,914","3,981","3,670","3,530"
자본총계,"3,030","3,190","4,718","3,747","3,735","3,880","4,070"
  자본총계(지배),"3,003","3,162","4,687","3,711","3,628","3,770","3,950"
  자본총계(비지배),27,,31,36,108,,
자본금,173,173,671,587,587,590,590
영업활동현금흐름,599,383,517,499,947,510,620
투자활동현금흐름,-102,-720,"-16,313","14,867",-532,-510,-510
재무활동현금흐름,-270,866,"16,227","-16,485",-781,-190,-190
CAPEX,28,16,27,23,40,340,340
FCF,570,367,491,476,907,,
이자발생부채,900,"1,850","16,328","1,077","1,389",,
영업이익률,5.48,5.29,3.32,2.17,3.29,4.80,5.21
순이익률,3.99,3.47,-23.09,0.06,5.43,3.17,3.47
ROE(%),8.61,7.20,-38.45,0.23,11.81,7.57,8.55
ROA(%),4.78,3.76,-9.70,0.02,6.14,3.80,4.49
부채비율,76.24,104.79,420.06,77.75,106.57,94.59,86.73
자본유보율,"1,708.45","1,794.61",616.03,622.96,617.84,,
EPS(원),534,476,"-1,343",8,375,242,286
PER(배),10.55,5.58,N/A,354.60,8.46,12.44,10.55
BPS(원),"6,668","7,021","3,541","3,253","3,219","3,346","3,505"
PBR(배),0.85,0.38,0.84,0.85,0.99,0.90,0.86
현금DPS(원),122,0,310,110,130,90,90
현금배당수익률,2.16,0.00,10.38,3.99,4.09,2.99,2.99
현금배당성향(%),21.73,0.00,-27.24,"1,324.14",33.94,37.13,31.50
발행주식수(보통주),"46,634,680","46,634,680","133,973,086","115,505,985","115,505,985",,
