주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)"
매출액,"1,729","1,650","1,516","1,405","2,034","2,326","2,773"
영업이익,129,75,32,11,152,191,236
영업이익(발표기준),129,75,32,11,152,,
세전계속사업이익,99,56,34,-7,167,205,252
당기순이익,99,56,35,-7,152,184,227
  당기순이익(지배),99,56,35,-7,152,184,227
  당기순이익(비지배),,,,,,,
자산총계,959,923,905,"1,163","1,575","1,771","2,046"
부채총계,699,606,238,405,580,591,639
자본총계,260,317,667,758,996,"1,180","1,407"
  자본총계(지배),260,317,667,758,996,"1,180","1,407"
  자본총계(비지배),,,,,,,
자본금,131,131,175,212,225,225,225
영업활동현금흐름,230,90,33,87,-54,130,127
투자활동현금흐름,-11,-14,-12,-157,-111,-55,-89
재무활동현금흐름,-171,-82,-38,158,164,-27,-10
CAPEX,13,15,13,37,57,30,50
FCF,217,75,21,50,-110,89,62
이자발생부채,551,380,85,200,269,,
영업이익률,7.49,4.56,2.14,0.76,7.47,8.21,8.51
순이익률,5.71,3.37,2.29,-0.46,7.49,7.91,8.19
ROE(%),46.45,19.30,7.06,-0.91,17.39,16.91,17.55
ROA(%),10.08,5.91,3.80,-0.63,11.13,11.00,11.89
부채비율,268.98,191.42,35.66,53.44,58.21,50.08,45.42
자본유보율,98.01,141.27,281.49,256.52,339.88,,
EPS(원),376,212,132,-16,353,408,503
PER(배),8.51,17.08,113.98,N/A,13.84,10.69,8.67
BPS(원),990,"1,206","1,907","1,791","2,217","2,616","3,120"
PBR(배),3.23,3.00,7.89,2.15,2.20,1.67,1.40
현금DPS(원),0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"12,317,933","12,317,933","21,039,932","29,565,939","32,168,164",,
