주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,243","2,206","1,334","1,544","2,068","2,304","2,513"
영업이익,110,295,264,146,115,176,194
영업이익(발표기준),110,295,264,146,115,,
세전계속사업이익,-43,523,246,161,165,205,220
당기순이익,"34,979",472,175,179,360,155,165
  당기순이익(지배),"34,976",483,269,272,655,140,155
  당기순이익(비지배),2,-11,-94,-94,-296,,
자산총계,"8,581","16,249","16,574","16,582","19,816","17,085","17,165"
부채총계,"1,329","1,091","1,291","1,211","2,489","1,440","1,460"
자본총계,"7,252","15,157","15,283","15,371","17,328","15,645","15,705"
  자본총계(지배),"7,082","14,826","15,026","15,105","15,689","15,740","15,810"
  자본총계(비지배),170,331,256,266,"1,639",,
자본금,323,954,957,957,957,960,960
영업활동현금흐름,"3,841",-292,138,214,15,235,260
투자활동현금흐름,"-3,509",294,-4,-292,"1,668",-100,-105
재무활동현금흐름,"-1,186",-37,-115,24,300,-155,-110
CAPEX,"1,746",40,52,214,167,130,135
FCF,"2,095",-332,86,0,-151,20,50
이자발생부채,243,277,502,199,629,,
영업이익률,8.81,13.36,19.76,9.48,5.56,7.62,7.70
순이익률,"2,813.01",21.40,13.13,11.58,17.40,6.73,6.57
ROE(%),428.57,4.41,1.80,1.81,4.26,0.89,0.98
ROA(%),252.03,3.80,1.07,1.08,1.98,0.84,0.96
부채비율,18.32,7.20,8.45,7.88,14.36,9.20,9.30
자본유보율,"13,439.63","1,476.53","1,495.87","1,512.94","1,571.03",,
EPS(원),"74,962",575,281,285,685,146,162
PER(배),0.20,14.04,19.91,17.20,7.73,35.35,31.93
BPS(원),"21,957","15,547","15,700","15,782","16,393","16,446","16,519"
PBR(배),0.69,0.52,0.36,0.31,0.32,0.31,0.31
현금DPS(원),200,35,110,110,110,110,110
현금배당수익률,1.31,0.43,1.96,2.25,2.08,2.13,2.13
현금배당성향(%),0.18,6.91,39.18,38.65,16.06,75.21,67.93
발행주식수(보통주),"32,263,719","95,369,179","95,716,791","95,716,791","95,716,791",,
