주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,182","1,245","1,372","1,246","1,422"
영업이익,90,70,154,76,-114
영업이익(발표기준),90,70,154,76,-114
세전계속사업이익,96,93,156,71,-134
당기순이익,80,80,123,62,-66
  당기순이익(지배),80,80,123,62,-66
  당기순이익(비지배),,,,,
자산총계,"1,795","1,845","2,333","2,835","2,985"
부채총계,374,369,749,"1,147","1,370"
자본총계,"1,420","1,477","1,585","1,687","1,615"
  자본총계(지배),"1,420","1,477","1,585","1,687","1,615"
  자본총계(비지배),,,,,
자본금,131,131,131,137,137
영업활동현금흐름,204,155,170,48,-59
투자활동현금흐름,-126,-161,-443,-626,-204
재무활동현금흐름,-69,-31,199,548,283
CAPEX,85,164,473,617,205
FCF,120,-9,-303,-568,-264
이자발생부채,60,49,284,798,"1,094"
영업이익률,7.64,5.63,11.24,6.11,-8.04
순이익률,6.78,6.39,8.94,4.98,-4.62
ROE(%),5.78,5.49,,3.79,-3.98
ROA(%),4.45,4.37,,2.40,-2.26
부채비율,26.36,24.96,47.26,67.98,84.86
자본유보율,999.05,"1,045.06","1,127.67","1,133.22","1,081.79"
EPS(원),"1,461","1,450","2,236","1,132","-1,199"
PER(배),13.93,13.64,13.20,70.61,N/A
BPS(원),"26,373","27,416","29,422","30,760","29,437"
PBR(배),0.77,0.72,1.00,2.60,1.42
현금DPS(원),381,191,191,200,100
현금배당수익률,1.87,0.96,0.65,0.25,0.24
현금배당성향(%),25.60,12.89,8.36,17.68,-8.34
발행주식수(보통주),"5,485,962","5,485,962","5,485,962","5,485,962","5,485,962"
