주요재무정보,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,"1,417","2,127","2,779","3,562","4,357"
영업이익,103,145,165,273,508
영업이익(발표기준),103,145,165,273,508
세전계속사업이익,108,137,161,272,486
당기순이익,84,107,124,209,365
  당기순이익(지배),84,107,124,209,365
  당기순이익(비지배),,,,,0
자산총계,924,"1,377","2,785","4,133","5,443"
부채총계,650,995,"1,333","2,507","2,360"
자본총계,274,382,"1,451","1,625","3,083"
  자본총계(지배),274,382,"1,451","1,625","3,040"
  자본총계(비지배),,,,,43
자본금,111,111,268,268,388
영업활동현금흐름,143,329,227,130,979
투자활동현금흐름,-93,-245,-804,-978,-632
재무활동현금흐름,-61,18,917,586,378
CAPEX,5,7,13,14,18
FCF,138,322,213,116,960
이자발생부채,3,20,36,"1,060",429
영업이익률,7.25,6.82,5.93,7.68,11.66
순이익률,5.93,5.04,4.47,5.87,8.38
ROE(%),32.76,32.67,13.56,13.59,
ROA(%),9.97,9.31,5.97,6.04,
부채비율,237.37,260.44,91.88,154.26,76.54
자본유보율,146.29,243.72,441.90,506.90,683.94
EPS(원),695,886,620,718,"1,043"
PER(배),,,8.58,16.29,8.86
BPS(원),"2,264","3,159","4,981","5,578","7,839"
PBR(배),0.00,0.00,1.07,2.10,1.18
현금DPS(원),0,0,92,138,200
현금배당수익률,,,1.73,1.18,2.16
현금배당성향(%),0.00,0.00,21.54,19.21,21.23
발행주식수(보통주),"12,096,104","12,096,104","29,138,288","29,138,288","38,782,520"
