주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"36,536","33,583","34,841","39,282","47,495","49,578","51,388","55,814"
영업이익,725,768,"1,256","1,764","2,415","2,416","2,539","2,765"
영업이익(발표기준),725,768,"1,256","1,764","2,415",,,
세전계속사업이익,165,324,477,"1,152","1,969","2,057","2,197","2,410"
당기순이익,152,145,336,805,"1,370","1,520","1,617","1,770"
  당기순이익(지배),152,163,360,826,"1,387","1,531","1,630","1,777"
  당기순이익(비지배),,-19,-24,-21,-18,,,
자산총계,"22,634","20,334","22,054","24,699","25,757","27,097","28,277","30,450"
부채총계,"17,980","15,867","17,504","19,836","19,624","19,537","19,177","19,630"
자본총계,"4,654","4,467","4,550","4,863","6,134","7,560","9,100","10,820"
  자본총계(지배),"4,654","4,426","4,533","4,737","5,981","7,415","8,930","10,605"
  자본총계(비지배),,41,18,126,153,,,
자본금,"1,277","1,277","1,277","1,277","1,277","1,280","1,280","1,280"
영업활동현금흐름,385,90,"1,393","3,345","1,994","2,363","2,453","1,855"
투자활동현금흐름,-525,-270,-124,-805,"-1,233",-727,-800,-920
재무활동현금흐름,432,48,"-1,102","-2,345",-613,-453,-443,-595
CAPEX,451,388,173,169,180,95,100,0
FCF,-66,-297,"1,220","3,176","1,814","1,630","1,615","1,190"
이자발생부채,"6,538","7,117","8,181","8,000","7,858",,,
영업이익률,1.98,2.29,3.60,4.49,5.08,4.87,4.94,4.95
순이익률,0.42,0.43,0.96,2.05,2.88,3.06,3.15,3.17
ROE(%),3.38,3.59,8.04,17.83,25.89,22.86,19.95,18.19
ROA(%),0.70,0.67,1.59,3.44,5.43,5.75,5.84,6.03
부채비율,386.31,355.18,384.68,407.89,319.93,258.42,210.73,181.42
자본유보율,246.56,245.57,263.72,282.45,379.23,,,
EPS(원),659,639,"1,411","3,238","5,436","6,000","6,386","6,962"
PER(배),14.84,11.15,6.87,5.96,4.16,3.30,3.10,2.84
BPS(원),"18,349","17,450","17,869","18,624","23,514","29,153","35,110","41,695"
PBR(배),0.53,0.41,0.54,1.04,0.96,0.68,0.56,0.47
현금DPS(원),150,100,350,400,500,400,400,350
현금배당수익률,1.53,1.40,3.61,2.07,2.21,2.02,2.02,1.77
현금배당성향(%),25.05,15.64,24.70,12.33,9.18,6.59,6.19,4.96
발행주식수(보통주),"25,210,438","25,210,438","25,210,438","25,210,438","25,210,438",,,
