주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"4,612","8,438","8,368","7,875","8,926","9,803","11,190","13,150"
영업이익,532,792,812,753,"1,286","1,127","1,485","1,970"
영업이익(발표기준),532,792,812,753,"1,286",,,
세전계속사업이익,741,264,367,349,968,"1,005","1,245","1,700"
당기순이익,554,172,287,251,992,550,800,
  당기순이익(지배),552,153,277,237,947,775,960,"1,360"
  당기순이익(비지배),2,19,10,13,46,,,
자산총계,"9,064","19,287","19,308","19,014","20,373","20,100","19,870",
부채총계,"2,091","11,428","11,250","10,778","11,177","10,310","9,280",
자본총계,"6,973","7,859","8,058","8,236","9,196","9,790","10,590",
  자본총계(지배),"6,925","7,792","7,980","8,144","9,059","9,620","10,390",
  자본총계(비지배),48,,77,92,136,,,
자본금,165,195,195,195,195,190,190,
영업활동현금흐름,568,893,"1,095",805,"1,035","1,450","1,540",
투자활동현금흐름,-312,"-3,354",-362,-584,-835,-490,-440,
재무활동현금흐름,83,"2,587",-872,-586,-72,-500,"-1,090",
CAPEX,381,578,339,495,666,480,440,
FCF,187,315,755,310,369,970,"1,100",
이자발생부채,205,"7,026","7,077","7,102","7,458",,,
영업이익률,11.54,9.39,9.70,9.56,14.41,11.49,13.27,14.98
순이익률,12.01,2.04,3.43,3.19,11.12,5.61,7.15,
ROE(%),8.16,2.08,3.51,2.94,11.00,8.30,9.59,
ROA(%),6.30,1.21,1.49,1.31,5.04,2.72,4.00,
부채비율,29.98,145.40,139.62,130.87,121.55,105.31,87.63,
자본유보율,"4,108.35","3,919.79","4,001.55","4,090.19","4,558.99",,,
EPS(원),"1,668",400,711,609,"2,430","1,989","2,464","3,491"
PER(배),6.60,25.87,10.69,11.90,5.02,6.21,5.01,3.54
BPS(원),"20,937","20,008","20,491","20,912","23,262","24,702","26,679",
PBR(배),0.53,0.52,0.37,0.35,0.52,0.50,0.46,
현금DPS(원),149,150,150,125,225,125,125,
현금배당수익률,1.36,1.45,1.97,1.72,1.84,1.01,1.01,
현금배당성향(%),8.96,38.16,21.09,20.51,9.26,6.28,5.07,
발행주식수(보통주),"33,087,098","38,958,090","38,958,090","38,958,090","38,958,090",,,
