주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"5,840","7,318","8,104","2,692","2,144","4,985","10,438","11,026"
영업이익,471,478,-192,"-1,743","-1,483","-1,078",847,"1,016"
영업이익(발표기준),471,478,-192,"-1,743","-1,483",,,
세전계속사업이익,446,494,-572,"-1,755","-1,984","-1,428",526,692
당기순이익,397,379,-432,"-1,379","-1,562","-1,182",440,631
  당기순이익(지배),397,379,-432,"-1,379","-1,562","-1,182",440,631
  당기순이익(비지배),,,,,,,,
자산총계,"2,258","4,309","8,078","7,058","7,350","8,453","8,801","9,842"
부채총계,"1,893","2,052","6,189","5,888","6,877","7,845","7,754","8,210"
자본총계,365,"2,257","1,889","1,170",473,608,"1,048","1,632"
  자본총계(지배),365,"2,257","1,889","1,170",473,797,"1,372","2,155"
  자본총계(비지배),,,,,,,,
자본금,169,235,235,552,711,965,965,967
영업활동현금흐름,"1,160",314,"1,311",-650,351,-687,773,"1,394"
투자활동현금흐름,-240,-736,"-1,321",-528,-341,370,-488,-354
재무활동현금흐름,,"1,518",-964,253,-169,"2,111",-261,270
CAPEX,108,231,361,208,35,640,643,405
FCF,"1,052",83,949,-858,316,"-1,456",-135,988
이자발생부채,0,0,"3,607","3,412","3,225",,,
영업이익률,8.06,6.53,-2.37,-64.75,-69.18,-21.62,8.11,9.21
순이익률,6.80,5.18,-5.33,-51.21,-72.88,-23.71,4.21,5.72
ROE(%),227.62,,-20.84,-90.15,-190.16,-186.08,40.55,35.79
ROA(%),24.53,,-6.98,-18.22,-21.69,-14.96,5.10,6.77
부채비율,518.31,90.90,327.66,503.31,"1,452.65","1,290.35",740.09,502.88
자본유보율,115.81,854.66,695.66,108.89,-36.73,,,
EPS(원),697,561,-546,"-1,644","-1,060",-661,229,328
PER(배),,7.18,N/A,N/A,N/A,N/A,11.80,8.22
BPS(원),641,"2,852","2,391",949,305,415,714,"1,123"
PBR(배),0.00,1.41,1.27,2.42,9.63,6.50,3.78,2.41
현금DPS(원),0,0,0,0,0,0,0,0
현금배당수익률,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"56,962,025","79,126,196","79,126,196","123,442,189","123,442,189",,,
