주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,983","4,383","4,684","5,259","5,760"
영업이익,101,241,-73,12,119
영업이익(발표기준),101,241,-73,12,119
세전계속사업이익,86,189,-102,-76,204
당기순이익,58,126,-139,-172,43
  당기순이익(지배),38,95,4,-64,141
  당기순이익(비지배),20,31,-143,-107,-98
자산총계,"7,408","8,798","8,927","8,816","9,547"
부채총계,"3,971","5,200","5,367","5,493","6,128"
자본총계,"3,437","3,598","3,560","3,322","3,419"
  자본총계(지배),"2,888","2,990","3,079","2,911","3,082"
  자본총계(비지배),548,608,480,412,337
자본금,48,48,48,48,48
영업활동현금흐름,109,-14,-57,415,0
투자활동현금흐름,-814,-730,106,-186,-467
재무활동현금흐름,586,771,302,163,331
CAPEX,743,525,263,128,92
FCF,-634,-539,-320,287,-92
이자발생부채,"2,890","3,815","4,128","4,291","4,711"
영업이익률,3.40,5.51,-1.57,0.23,2.07
순이익률,1.96,2.87,-2.97,-3.27,0.75
ROE(%),1.33,3.23,0.13,-2.15,4.72
ROA(%),0.83,1.55,-1.57,-1.94,0.47
부채비율,115.56,144.50,150.77,165.34,179.23
자본유보율,"6,885.68","7,042.74","6,989.41","6,766.54","7,014.29"
EPS(원),400,990,42,-670,"1,472"
PER(배),82.19,19.76,323.72,N/A,9.24
BPS(원),"30,218","31,281","32,217","30,463","32,252"
PBR(배),1.09,0.62,0.42,0.58,0.42
현금DPS(원),100,140,250,200,260
현금배당수익률,0.30,0.72,1.86,1.14,1.91
현금배당성향(%),24.86,14.08,598.87,-29.68,17.58
발행주식수(보통주),"9,603,921","9,603,921","9,603,921","9,603,921","9,603,921"
