주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"10,644","10,843","10,162","9,568","12,568"
영업이익,247,218,242,206,384
영업이익(발표기준),247,218,242,206,384
세전계속사업이익,335,289,221,148,329
당기순이익,290,431,175,122,262
  당기순이익(지배),290,431,175,122,262
  당기순이익(비지배),,,,,
자산총계,"6,786","7,571","7,777","7,656","8,290"
부채총계,"5,189","5,614","5,802","5,632","6,029"
자본총계,"1,597","1,956","1,976","2,024","2,261"
  자본총계(지배),"1,597","1,956","1,976","2,024","2,261"
  자본총계(비지배),,,,,
자본금,200,200,200,200,200
영업활동현금흐름,-623,636,602,363,769
투자활동현금흐름,-73,-127,-4,-218,-357
재무활동현금흐름,413,-110,-196,-619,-67
CAPEX,70,53,40,116,169
FCF,-693,583,562,247,601
이자발생부채,700,599,953,498,461
영업이익률,2.32,2.02,2.38,2.16,3.06
순이익률,2.73,3.97,1.72,1.28,2.08
ROE(%),20.18,24.25,8.91,6.12,12.21
ROA(%),4.11,6.00,2.28,1.59,3.28
부채비율,324.96,286.96,293.63,278.28,266.59
자본유보율,386.31,648.76,700.19,723.77,842.08
EPS(원),"7,256","10,769","4,379","3,058","6,539"
PER(배),3.62,2.22,6.01,8.78,5.31
BPS(원),"39,918","48,912","49,395","50,598","56,534"
PBR(배),0.66,0.49,0.53,0.53,0.61
현금DPS(원),750,750,800,800,850
현금배당수익률,2.86,3.13,3.04,2.98,2.45
현금배당성향(%),10.34,6.96,18.27,26.16,13.00
발행주식수(보통주),"4,000,000","4,000,000","4,000,000","4,000,000","4,000,000"
