주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"32,951","34,562","34,616","32,080","37,633","42,533","41,799"
영업이익,611,839,856,946,700,985,"1,014"
영업이익(발표기준),611,839,856,946,700,,
세전계속사업이익,221,515,520,443,724,987,"1,029"
당기순이익,51,266,360,273,711,691,721
  당기순이익(지배),132,321,378,320,595,691,721
  당기순이익(비지배),-81,-54,-18,-47,116,,
자산총계,"37,043","36,994","39,124","38,599","42,453","43,370","44,426"
부채총계,"23,484","23,311","25,194","24,691","27,852","28,214","28,652"
자본총계,"13,558","13,683","13,929","13,908","14,601","15,156","15,774"
  자본총계(지배),"12,396","12,577","12,843","12,870","13,447","14,057","14,675"
  자본총계(비지배),"1,162",,"1,087","1,038","1,154",,
자본금,203,203,203,203,203,203,203
영업활동현금흐름,"1,001","1,250","3,171","1,003","3,409","1,344","2,382"
투자활동현금흐름,-107,"-1,214","-1,161",-388,"-3,966","-1,104","-1,235"
재무활동현금흐름,-460,-340,-287,"1,121",-408,"-1,014",-99
CAPEX,"1,343","1,415","1,429","1,663","1,229",,
FCF,-341,-165,"1,742",-660,"2,180",144,"1,182"
이자발생부채,"11,468","11,161","11,687","13,023","12,961",,
영업이익률,1.86,2.43,2.47,2.95,1.86,2.32,2.43
순이익률,0.16,0.77,1.04,0.85,1.89,1.63,1.73
ROE(%),1.07,2.57,2.98,2.49,4.52,5.03,5.02
ROA(%),0.14,0.72,0.95,0.70,1.75,1.61,1.64
부채비율,173.21,170.36,180.87,177.53,190.75,186.16,181.64
자본유보율,"6,257.78","6,338.81","6,464.14","6,556.93","6,815.49",,
EPS(원),"3,259","7,905","9,327","7,883","14,680","17,041","17,780"
PER(배),34.67,11.51,9.06,10.33,6.19,7.80,7.48
BPS(원),"347,883","352,950","360,412","375,867","392,735","410,540","428,589"
PBR(배),0.32,0.26,0.23,0.22,0.23,0.32,0.31
현금DPS(원),"3,000","3,000","3,000","3,000","3,000","3,000","3,000"
현금배당수익률,2.65,3.30,3.55,3.69,3.30,2.26,2.26
현금배당성향(%),80.89,33.35,28.26,32.13,17.26,17.61,16.87
발행주식수(보통주),"4,055,025","4,055,025","4,055,025","4,055,025","4,055,025",,
