주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"3,334","3,663","3,754","3,676","3,919","4,367","4,830",
영업이익,427,350,416,523,461,601,850,
영업이익(발표기준),427,350,416,523,461,,,
세전계속사업이익,361,275,360,385,379,600,850,
당기순이익,279,214,284,323,303,451,660,730
  당기순이익(지배),279,214,284,323,303,450,660,730
  당기순이익(비지배),,,,,,,,
자산총계,"4,974","5,460","5,639","5,645","6,125","7,150","7,700",
부채총계,"2,516","2,805","2,776","2,568","2,912","3,260","3,310",
자본총계,"2,458","2,654","2,862","3,077","3,212","3,890","4,390",
  자본총계(지배),"2,458","2,654","2,862","3,077","3,212","3,890","4,390",
  자본총계(비지배),,,,,,,,
자본금,710,710,710,710,710,710,710,
영업활동현금흐름,541,425,618,732,562,350,660,
투자활동현금흐름,-166,-706,-261,-263,-901,-570,-500,
재무활동현금흐름,-299,199,-169,-365,87,360,-160,
CAPEX,159,704,259,136,287,800,500,
FCF,382,-279,359,596,276,-450,160,
이자발생부채,"1,966","2,178","2,188","1,948","2,190",,,
영업이익률,12.79,9.56,11.08,14.22,11.77,13.76,17.60,
순이익률,8.38,5.85,7.56,8.79,7.73,10.33,13.66,
ROE(%),12.05,8.38,10.29,10.88,9.63,12.67,15.94,
ROA(%),5.65,4.11,5.12,5.72,5.15,6.80,8.89,
부채비율,102.38,105.69,97.00,83.44,90.66,83.80,75.40,
자본유보율,245.92,273.59,302.85,333.14,352.14,,,
EPS(원),"1,966","1,507","1,998","2,273","2,132","2,893","4,180","4,624"
PER(배),10.30,11.15,7.88,9.35,11.72,7.71,5.33,4.82
BPS(원),"17,296","18,679","20,142","21,657","22,607","24,638","27,805",
PBR(배),1.17,0.90,0.78,0.98,1.11,0.91,0.80,
현금DPS(원),0,500,750,"1,000","1,000","1,000","1,300",
현금배당수익률,0.00,2.98,4.76,4.71,4.00,4.48,5.83,
현금배당성향(%),0.00,33.17,37.55,44.00,46.89,35.09,31.10,
발행주식수(보통주),"14,209,804","14,209,804","14,209,804","14,209,804","14,209,804",,,
