주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"3,102","2,961","3,136","3,276","3,289"
영업이익,242,125,226,267,204
영업이익(발표기준),242,125,226,267,204
세전계속사업이익,303,100,194,241,208
당기순이익,240,80,132,185,158
  당기순이익(지배),240,80,132,185,158
  당기순이익(비지배),,,,,
자산총계,"3,024","3,083","3,112","3,187","3,159"
부채총계,"1,537","1,526","1,436","1,340","1,192"
자본총계,"1,487","1,557","1,676","1,848","1,967"
  자본총계(지배),"1,487","1,557","1,676","1,848","1,967"
  자본총계(비지배),,,,,
자본금,471,471,471,471,471
영업활동현금흐름,260,81,279,318,202
투자활동현금흐름,-149,-44,-13,97,-176
재무활동현금흐름,-117,-44,-220,-141,-104
CAPEX,127,68,30,38,76
FCF,133,13,249,280,126
이자발생부채,978,975,812,710,637
영업이익률,7.79,4.22,7.21,8.16,6.20
순이익률,7.73,2.69,4.21,5.63,4.80
ROE(%),17.32,5.23,8.18,10.48,8.27
ROA(%),8.07,2.61,4.27,5.86,4.97
부채비율,103.38,98.00,85.70,72.49,60.62
자본유보율,301.11,315.60,340.88,378.46,409.85
EPS(원),"2,546",845,"1,402","1,959","1,674"
PER(배),5.15,11.52,5.40,5.02,5.57
BPS(원),"15,779","16,524","17,782","19,611","20,876"
PBR(배),0.83,0.59,0.43,0.50,0.45
현금DPS(원),120,50,100,150,200
현금배당수익률,0.92,0.51,1.32,1.52,2.14
현금배당성향(%),4.71,5.92,7.13,7.66,11.95
발행주식수(보통주),"9,422,739","9,422,739","9,422,739","9,422,739","9,422,739"
