주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"1,155","3,442","7,757","8,090","11,077","13,127","15,870"
영업이익,86,140,596,662,565,924,"1,390"
영업이익(발표기준),86,140,596,662,565,,
세전계속사업이익,0,90,485,-729,582,976,"1,450"
당기순이익,-19,34,338,-888,453,750,"1,110"
  당기순이익(지배),-19,34,338,-888,453,751,"1,110"
  당기순이익(비지배),,,,,,,
자산총계,"2,316","2,845","3,658","4,769","7,195","8,590","10,480"
부채총계,"1,421","2,382","2,864","2,929","4,224","4,750","5,410"
자본총계,895,463,794,"1,840","2,971","3,840","5,070"
  자본총계(지배),895,463,794,"1,840","2,971","3,840","5,070"
  자본총계(비지배),,,,,,,
자본금,234,119,119,198,262,260,260
영업활동현금흐름,217,214,652,481,228,810,"1,170"
투자활동현금흐름,-142,-13,-424,-454,-769,-870,-950
재무활동현금흐름,-74,1,51,370,654,40,70
CAPEX,142,50,237,464,779,830,900
FCF,75,164,415,17,-552,,
이자발생부채,"1,194","1,563","1,564","1,752","2,151",,
영업이익률,7.48,4.06,7.68,8.18,5.10,7.04,8.76
순이익률,-1.65,1.00,4.36,-10.97,4.09,5.71,6.99
ROE(%),,,53.84,-67.39,18.84,22.05,24.92
ROA(%),,,10.41,-21.07,7.58,9.50,11.64
부채비율,158.75,514.68,360.47,159.12,142.18,123.70,106.71
자본유보율,265.41,521.57,799.79,982.63,"1,101.54",,
EPS(원),-38,80,979,"-2,306",928,"1,431","2,115"
PER(배),,,,N/A,32.43,14.74,9.97
BPS(원),"1,738","1,553","2,235","4,177","5,662","7,318","9,663"
PBR(배),0.00,0.00,0.00,10.93,5.32,2.88,2.18
현금DPS(원),0,0,0,0,,,
현금배당수익률,,,,0.00,,,
현금배당성향(%),0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"26,000,000","23,844,210","23,844,210","40,779,120","52,470,133",,
