주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"3,121","3,001","2,701","2,607","3,226"
영업이익,-27,95,134,47,122
영업이익(발표기준),-27,95,134,47,122
세전계속사업이익,-38,91,138,44,134
당기순이익,-30,106,108,33,100
  당기순이익(지배),-30,106,108,33,100
  당기순이익(비지배),,,,,
자산총계,"2,077","2,187","2,122","2,080","2,461"
부채총계,784,784,617,541,788
자본총계,"1,292","1,403","1,505","1,539","1,672"
  자본총계(지배),"1,292","1,403","1,505","1,539","1,672"
  자본총계(비지배),,,,,
자본금,533,542,542,542,542
영업활동현금흐름,17,163,289,170,100
투자활동현금흐름,-23,-310,-61,-33,-308
재무활동현금흐름,18,128,-215,-125,186
CAPEX,53,290,37,16,44
FCF,-35,-127,252,154,57
이자발생부채,372,487,288,170,344
영업이익률,-0.88,3.17,4.96,1.80,3.79
순이익률,-0.95,3.54,4.00,1.27,3.12
ROE(%),-2.22,7.88,7.42,2.18,6.26
ROA(%),-1.42,4.98,5.01,1.58,4.43
부채비율,60.68,55.85,40.99,35.13,47.14
자본유보율,151.93,169.11,188.03,194.02,218.39
EPS(원),-28,99,100,31,93
PER(배),N/A,11.24,11.15,54.14,27.93
BPS(원),"1,276","1,361","1,460","1,493","1,622"
PBR(배),0.66,0.82,0.76,1.11,1.60
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"106,584,898","108,394,549","108,394,549","108,394,549","108,394,549"
