주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"4,585","4,694","5,436","6,485","6,420","7,437","8,025","8,610"
영업이익,433,552,783,953,654,842,962,"1,088"
영업이익(발표기준),433,552,783,953,654,,,
세전계속사업이익,357,539,783,907,721,862,974,"1,094"
당기순이익,291,353,600,680,567,662,743,818
  당기순이익(지배),287,348,596,672,563,659,742,816
  당기순이익(비지배),4,5,5,8,3,,,
자산총계,"3,982","4,121","4,704","5,562","7,531","8,272","8,990","9,545"
부채총계,"1,951","1,777","1,827","2,089","3,574","3,727","3,775","3,580"
자본총계,"2,031","2,344","2,876","3,473","3,957","4,545","5,215","5,966"
  자본총계(지배),"2,001","2,309","2,837","3,425","3,904","4,487","5,152","5,902"
  자본총계(비지배),30,,39,48,53,,,
자본금,377,377,377,377,377,378,378,377
영업활동현금흐름,436,380,525,809,584,757,802,758
투자활동현금흐름,-456,-230,-123,-662,"-1,731",-336,-263,-294
재무활동현금흐름,121,-112,-56,35,"1,252",-76,-107,-125
CAPEX,456,356,134,658,"1,397",275,275,285
FCF,-20,24,391,150,-813,324,436,136
이자발생부채,666,593,628,723,"2,072",,,
영업이익률,9.45,11.76,14.40,14.70,10.18,11.32,11.98,12.63
순이익률,6.35,7.52,11.04,10.48,8.82,8.91,9.26,9.51
ROE(%),15.28,16.16,23.14,21.46,15.38,15.71,15.40,14.77
ROA(%),8.03,8.71,13.60,13.24,8.65,8.38,8.61,8.83
부채비율,96.04,75.81,63.52,60.17,90.32,82.02,72.39,60.00
자본유보율,421.61,504.19,645.92,803.56,931.12,,,
EPS(원),"3,807","4,623","7,906","8,922","7,480","8,748","9,850","10,839"
PER(배),25.42,11.25,11.37,11.32,12.67,10.80,9.59,8.72
BPS(원),"26,562","30,654","37,663","45,472","51,826","59,840","68,705","78,705"
PBR(배),3.64,1.70,2.39,2.22,1.83,1.58,1.38,1.20
현금DPS(원),250,400,800,800,"1,000","1,000","1,000","1,000"
현금배당수익률,0.26,0.77,0.89,0.79,1.05,1.06,1.06,1.06
현금배당성향(%),6.57,8.65,10.12,8.97,13.37,11.43,10.15,9.23
발행주식수(보통주),"7,533,015","7,533,015","7,533,015","7,533,015","7,533,015",,,
