주요재무정보,"2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"227,083","286,376","271,910",,,
영업이익,"28,000","20,804","36,597","42,236","43,961","44,694"
영업이익(발표기준),"28,000","20,804","36,597",,,
세전계속사업이익,"27,230","20,013","37,492","42,053","43,666","44,457"
당기순이익,"20,376","15,152","28,074","31,077","32,140","32,547"
  당기순이익(지배),"18,722","13,073","25,879","29,287","30,012","30,394"
  당기순이익(비지배),"1,654","2,080","2,194",,,
자산총계,"3,619,807","3,990,810","4,471,839","4,740,358","4,985,911","5,224,418"
부채총계,"3,364,884","3,723,552","4,183,337","4,430,357","4,651,202","4,865,406"
자본총계,"254,923","267,258","288,502","310,002","334,707","359,011"
  자본총계(지배),"215,104","230,536","258,420","278,858","304,120","329,487"
  자본총계(비지배),"39,820","36,722","30,082",,,
자본금,"36,113","36,113","36,403","36,385","36,456","36,321"
영업활동현금흐름,"18,703","36,060","-18,010",,,
투자활동현금흐름,"-85,881","-14,564","-106,669",,,
재무활동현금흐름,"61,710","23,672","90,757",,,
CAPEX,"4,295","1,493","1,193",,,
FCF,,,,,,
이자발생부채,"430,752","571,423","683,820",,,
영업이익률,12.33,7.27,13.46,,,
순이익률,8.97,5.29,10.32,,,
ROE(%),,5.87,10.59,10.90,10.30,9.59
ROA(%),,0.40,0.66,0.68,0.66,0.64
부채비율,"1,319.96","1,393.24","1,450.02","1,429.14","1,389.63","1,355.23"
자본유보율,605.90,640.05,692.63,,,
EPS(원),"2,776","1,810","3,572","4,023","4,122","4,175"
PER(배),4.18,5.38,3.56,3.90,3.81,3.76
BPS(원),"29,782","31,918","35,494","38,302","41,771","45,256"
PBR(배),0.39,0.30,0.36,0.41,0.38,0.35
현금DPS(원),700,360,900,"1,035","1,084","1,106"
현금배당수익률,6.03,3.70,7.09,6.59,6.91,7.05
현금배당성향(%),27.00,19.89,25.29,25.73,26.31,26.50
발행주식수(보통주),"722,267,683","722,267,683","728,060,549",,,
