주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,312,220,287,195,289
영업이익,-35,-67,-5,14,35
영업이익(발표기준),-35,-67,-5,14,35
세전계속사업이익,-65,-109,-11,12,30
당기순이익,-59,-160,-14,10,37
  당기순이익(지배),-59,-160,-14,10,37
  당기순이익(비지배),,,,,
자산총계,498,333,282,286,409
부채총계,93,68,64,78,78
자본총계,405,265,218,207,330
  자본총계(지배),405,265,218,207,330
  자본총계(비지배),,,,,
자본금,138,138,138,138,138
영업활동현금흐름,-74,-28,9,29,16
투자활동현금흐름,-20,11,10,-37,-13
재무활동현금흐름,,,-21,-15,-16
CAPEX,0,0,0,0,12
FCF,-74,-28,9,28,4
이자발생부채,0,5,2,27,22
영업이익률,-11.36,-30.36,-1.59,7.04,11.95
순이익률,-18.91,-72.64,-4.79,5.04,12.74
ROE(%),-13.83,-47.80,-5.70,4.63,13.69
ROA(%),-10.90,-38.52,-4.47,3.46,10.60
부채비율,23.06,25.62,29.56,37.82,23.75
자본유보율,198.79,82.61,74.78,81.92,108.65
EPS(원),-214,-581,-50,36,134
PER(배),N/A,N/A,N/A,40.04,22.86
BPS(원),"1,470",961,791,752,"1,200"
PBR(배),2.00,1.73,1.88,1.90,2.55
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"27,549,644","27,549,644","27,549,644","27,549,644","27,549,644"
