주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"17,613","14,772","14,527","16,003","18,222","21,623","25,961","29,519"
영업이익,43,243,181,637,972,"1,734","2,252","2,814"
영업이익(발표기준),43,243,181,637,972,,,
세전계속사업이익,-251,112,138,389,"1,291","1,740","2,242","2,745"
당기순이익,-86,45,32,579,"1,051","1,356","1,743","2,143"
  당기순이익(지배),-86,45,32,579,"1,051","1,357","1,743","2,143"
  당기순이익(비지배),,,,,,,,
자산총계,"20,068","23,221","23,175","25,956","25,768","28,651","31,695","34,809"
부채총계,"14,028","16,720","16,835","19,231","18,135","20,035","21,607","22,766"
자본총계,"6,040","6,501","6,340","6,725","7,633","8,617","10,088","12,044"
  자본총계(지배),"6,040","6,501","6,340","6,725","7,633","8,582","10,054","12,045"
  자본총계(비지배),,,,,,,,
자본금,"1,100","1,100","1,100","1,100","1,100","1,100","1,100","1,100"
영업활동현금흐름,-364,"-1,138","1,510","1,921","1,352","1,309","1,646","2,268"
투자활동현금흐름,"-1,150",-364,"-1,430","-1,660",247,-989,"-1,143",-696
재무활동현금흐름,"2,285","1,146",-326,-37,"-1,366",423,323,-625
CAPEX,"1,029",111,312,319,322,438,526,609
FCF,"-1,393","-1,250","1,198","1,602","1,030",770,"1,069","2,133"
이자발생부채,"5,099","6,357","6,334","6,588","5,490",,,
영업이익률,0.24,1.65,1.25,3.98,5.33,8.02,8.67,9.53
순이익률,-0.49,0.30,0.22,3.62,5.76,6.27,6.71,7.26
ROE(%),-1.40,0.72,,8.86,14.63,16.73,18.70,19.40
ROA(%),-0.45,0.21,,2.36,4.06,4.98,5.78,6.45
부채비율,232.26,257.17,265.55,285.96,237.59,232.52,214.20,189.03
자본유보율,449.02,425.16,410.37,453.39,532.75,,,
EPS(원),-392,203,145,"2,631","4,775","6,167","7,921","9,743"
PER(배),N/A,182.34,218.25,11.59,14.37,12.45,9.70,7.88
BPS(원),"27,454","29,552","28,817","31,034","35,023","39,377","46,131","55,267"
PBR(배),2.18,1.25,1.10,0.98,1.96,1.95,1.66,1.39
현금DPS(원),500,500,600,900,"1,200","1,257","1,443","1,760"
현금배당수익률,0.84,1.35,1.90,2.95,1.75,1.64,1.88,2.29
현금배당성향(%),-127.49,246.74,414.40,33.69,24.89,20.39,18.22,18.07
발행주식수(보통주),"22,000,000","22,000,000","22,000,000","22,000,000","22,000,000",,,
