주요재무정보,"2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"76,317","78,777","87,861","95,709"
영업이익,"9,573","8,211","9,608","10,498"
영업이익(발표기준),"9,573",,,
세전계속사업이익,"9,093","8,322","9,798","10,818"
당기순이익,"6,358","6,003","7,078","7,770"
  당기순이익(지배),"5,770","5,590","6,538","7,182"
  당기순이익(비지배),588,,,
자산총계,"87,017","91,356","98,315","108,773"
부채총계,"42,045","40,808","42,446","44,904"
자본총계,"44,971","50,549","55,868","63,869"
  자본총계(지배),"41,679","46,772","52,792","58,991"
  자본총계(비지배),"3,292",,,
자본금,"1,074","1,456","1,456","1,561"
영업활동현금흐름,"5,804","5,639","6,869","7,787"
투자활동현금흐름,"-3,380","1,213",165,909
재무활동현금흐름,"1,136",-857,-787,-919
CAPEX,143,498,512,567
FCF,"5,661","5,047","6,165","7,060"
이자발생부채,"11,586",,,
영업이익률,12.54,10.42,10.94,10.97
순이익률,8.33,7.62,8.06,8.12
ROE(%),,12.64,13.13,12.85
ROA(%),,6.73,7.46,7.50
부채비율,93.49,80.73,75.98,70.31
자본유보율,"3,903.03",,,
EPS(원),"13,556","13,024","15,234","16,735"
PER(배),4.40,3.95,3.37,3.07
BPS(원),"97,169","109,042","123,076","137,527"
PBR(배),0.61,0.47,0.42,0.37
현금DPS(원),"1,351","1,485","1,639","1,917"
현금배당수익률,2.27,2.89,3.19,3.73
현금배당성향(%),10.05,10.28,9.70,10.33
발행주식수(보통주),"38,693,623",,,
