주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"3,202","3,735","4,560","4,803","5,261","5,902","6,613","7,407"
영업이익,154,149,185,300,355,376,424,500
영업이익(발표기준),154,149,185,300,355,,,
세전계속사업이익,137,384,151,898,479,"1,009",429,506
당기순이익,99,293,107,696,390,777,331,390
  당기순이익(지배),99,293,107,696,390,777,331,390
  당기순이익(비지배),,,,,,,,
자산총계,"2,270","3,058","2,898","2,837","3,541","4,359","4,716","5,141"
부채총계,607,"1,135",905,723,778,852,921,999
자본총계,"1,663","1,923","1,992","2,113","2,763","3,507","3,795","4,142"
  자본총계(지배),"1,663","1,923","1,992","2,113","2,763","3,507","3,795","4,142"
  자본총계(비지배),,,,,,,,
자본금,86,86,86,86,86,86,86,86
영업활동현금흐름,165,138,-24,372,319,868,454,521
투자활동현금흐름,-120,-96,131,329,-323,-323,-358,-397
재무활동현금흐름,-68,-40,-43,-585,242,-33,-43,-43
CAPEX,176,232,300,218,256,288,322,361
FCF,-11,-94,-324,155,63,545,96,124
이자발생부채,0,6,10,73,67,,,
영업이익률,4.83,3.99,4.06,6.25,6.75,6.37,6.41,6.75
순이익률,3.10,7.83,2.34,14.49,7.41,13.16,5.00,5.27
ROE(%),5.98,16.32,5.44,33.89,16.00,24.79,9.07,9.83
ROA(%),4.43,10.98,3.58,24.27,12.23,19.67,7.29,7.91
부채비율,36.47,59.03,45.43,34.23,28.17,24.29,24.27,24.12
자본유보율,"1,903.85","2,201.50","2,288.63","3,055.19","3,576.56",,,
EPS(원),577,"1,701",620,"4,045","2,268","4,517","1,924","2,267"
PER(배),14.29,6.64,17.35,3.10,8.75,3.53,8.29,7.03
BPS(원),"10,165","11,749","12,175","18,146","21,018","26,678","28,869","31,508"
PBR(배),0.81,0.96,0.88,0.69,0.94,0.60,0.55,0.51
현금DPS(원),100,150,200,250,250,250,250,250
현금배당수익률,1.21,1.33,1.86,1.99,1.26,1.57,1.57,1.57
현금배당성향(%),16.50,8.39,30.71,4.18,8.43,5.53,12.99,11.03
발행주식수(보통주),"17,200,000","17,200,000","17,200,000","17,200,000","17,200,000",,,
