주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"43,060","47,140","42,634","28,809","37,825","48,839","48,755","49,304"
영업이익,340,505,435,332,351,518,515,506
영업이익(발표기준),340,505,435,332,351,,,
세전계속사업이익,100,-38,167,539,562,734,744,735
당기순이익,251,-87,164,494,380,522,529,510
  당기순이익(지배),250,-88,164,493,378,517,527,509
  당기순이익(비지배),2,2,1,1,2,,,
자산총계,"12,589","10,982","14,446","12,191","17,074","18,517","19,492","20,944"
부채총계,"8,961","7,922","11,028","9,046","13,446","14,300","14,650","15,467"
자본총계,"3,628","3,059","3,418","3,145","3,628","4,217","4,843","5,478"
  자본총계(지배),"3,618","3,048","3,403","3,131","3,611","4,197","4,819","5,451"
  자본총계(비지배),10,,15,14,18,,,
자본금,661,661,661,661,661,660,660,660
영업활동현금흐름,485,-418,"1,406","1,408","-3,448",-596,574,510
투자활동현금흐름,179,-281,"-3,299",-27,-200,-113,-94,-116
재무활동현금흐름,-945,-81,"2,705",-472,"3,056",-90,-91,-72
CAPEX,4,79,76,17,43,,,
FCF,482,-498,"1,329","1,392","-3,491",336,366,365
이자발생부채,"3,420","3,434","6,390","6,101","9,290",,,
영업이익률,0.79,1.07,1.02,1.15,0.93,1.06,1.06,1.03
순이익률,0.58,-0.18,0.39,1.71,1.00,1.07,1.08,1.03
ROE(%),6.29,-2.64,5.07,15.09,11.21,13.23,11.70,9.91
ROA(%),1.81,-0.73,1.29,3.71,2.60,2.93,2.78,2.52
부채비율,247.00,258.97,322.70,287.66,370.57,339.11,302.51,282.37
자본유보율,669.64,643.65,655.44,717.58,762.36,,,
EPS(원),"1,888",-666,"1,236","3,727","2,857","3,906","3,986","3,848"
PER(배),10.33,N/A,14.48,4.28,5.88,4.83,4.73,4.90
BPS(원),"28,579","24,076","26,881","26,064","30,061","34,946","40,122","45,384"
PBR(배),0.68,1.17,0.67,0.61,0.56,0.54,0.47,0.42
현금DPS(원),600,600,600,600,600,600,600,600
현금배당수익률,3.08,2.14,3.35,3.76,3.57,3.18,3.18,3.18
현금배당성향(%),30.41,-86.18,46.44,14.62,19.07,15.36,15.05,15.59
발행주식수(보통주),"13,228,966","13,228,966","13,228,966","13,228,966","13,228,966",,,
