주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,56,52,51,22,179
영업이익,-4,-4,-5,-12,-16
영업이익(발표기준),-4,-4,-5,-12,-16
세전계속사업이익,1,-3,-9,-15,-19
당기순이익,1,-3,-9,-15,-19
  당기순이익(지배),1,-3,-9,-15,-19
  당기순이익(비지배),,,,,
자산총계,430,427,416,405,464
부채총계,194,193,191,199,278
자본총계,237,233,224,206,186
  자본총계(지배),237,233,224,206,186
  자본총계(비지배),,,,,
자본금,20,20,20,20,20
영업활동현금흐름,-4,-2,-5,-12,-19
투자활동현금흐름,-4,3,6,5,-35
재무활동현금흐름,,,-1,9,59
CAPEX,13,2,1,0,35
FCF,-17,-3,-6,-12,-54
이자발생부채,122,122,125,130,204
영업이익률,-6.58,-7.46,-8.87,-53.82,-8.68
순이익률,1.69,-6.68,-18.29,-68.79,-10.88
ROE(%),0.40,-1.47,-4.11,-7.13,-9.91
ROA(%),0.22,-0.81,-2.23,-3.74,-4.48
부채비율,81.76,82.75,85.21,96.24,149.55
자본유보율,231.86,215.49,170.85,83.06,-17.92
EPS(원),23,-85,-231,-377,-477
PER(배),315.28,N/A,N/A,N/A,N/A
BPS(원),"5,809","5,728","5,504","5,066","4,561"
PBR(배),1.26,1.14,1.05,1.22,2.32
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"4,075,920","4,075,920","4,075,920","4,075,920","4,075,920"
