주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"22,408","22,927","22,757","22,000","25,618","27,460","29,910"
영업이익,"1,150","1,537","1,359","1,748","2,327","2,480","2,810"
영업이익(발표기준),"1,150","1,537","1,359","1,748","2,327",,
세전계속사업이익,796,"1,262","1,016","1,216","2,122","2,140","2,490"
당기순이익,565,945,746,954,"1,564","1,590","1,850"
  당기순이익(지배),523,892,716,941,"1,559","1,570","1,840"
  당기순이익(비지배),42,53,30,14,5,,
자산총계,"15,829","17,262","20,046","20,703","23,271","23,500","25,040"
부채총계,"12,006","12,864","15,019","14,643","15,727","14,390","14,120"
자본총계,"3,823","4,398","5,027","6,060","7,543","9,110","10,920"
  자본총계(지배),"3,380","3,914","4,534","5,531","6,990","8,560","10,360"
  자본총계(비지배),444,,493,529,553,,
자본금,447,447,447,447,447,450,450
영업활동현금흐름,-584,"1,041",136,"1,938","1,224","2,090","2,260"
투자활동현금흐름,-518,-98,-960,-389,-186,-580,-710
재무활동현금흐름,414,13,"1,717","-1,232",-905,-500,-670
CAPEX,104,86,181,200,113,250,330
FCF,-688,955,-45,"1,737","1,112","1,850","1,940"
이자발생부채,"5,012","5,301","7,771","7,271","6,762",,
영업이익률,5.13,6.70,5.97,7.95,9.09,9.03,9.40
순이익률,2.52,4.12,3.28,4.34,6.11,5.79,6.19
ROE(%),16.70,24.46,16.94,18.69,24.90,20.19,19.45
ROA(%),3.65,5.71,4.00,4.68,7.11,6.80,7.62
부채비율,314.02,292.48,298.79,241.62,208.49,157.96,129.30
자본유보율,648.40,778.27,916.80,"1,131.96","1,464.03",,
EPS(원),"5,856","9,987","8,013","10,532","17,457","17,579","20,603"
PER(배),2.95,2.18,2.53,2.66,1.87,1.94,1.65
BPS(원),"38,153","44,186","51,185","62,437","78,914","96,638","116,959"
PBR(배),0.45,0.49,0.40,0.45,0.41,0.35,0.29
현금DPS(원),0,500,600,600,800,600,600
현금배당수익률,0.00,2.30,2.96,2.14,2.45,1.76,1.76
현금배당성향(%),0.00,4.97,7.43,5.65,4.55,3.41,2.91
발행주식수(보통주),"8,930,907","8,930,907","8,930,907","8,930,907","8,930,907",,
