주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,374","1,393","1,261","1,249","1,603"
영업이익,9,80,98,135,149
영업이익(발표기준),9,80,98,135,149
세전계속사업이익,14,74,239,126,149
당기순이익,16,59,178,99,117
  당기순이익(지배),16,59,178,99,117
  당기순이익(비지배),,,,,
자산총계,917,906,951,813,906
부채총계,405,291,206,323,443
자본총계,512,615,745,490,463
  자본총계(지배),512,615,745,490,463
  자본총계(비지배),,,,,
자본금,79,79,31,31,31
영업활동현금흐름,88,164,28,201,125
투자활동현금흐름,-93,-108,114,4,-13
재무활동현금흐름,1,-60,-62,-250,-93
CAPEX,117,89,54,14,26
FCF,-30,75,-27,187,100
이자발생부채,282,169,107,166,231
영업이익률,0.65,5.73,7.80,10.80,9.30
순이익률,1.18,4.21,14.15,7.96,7.32
ROE(%),2.75,10.39,26.23,16.10,24.61
ROA(%),1.77,6.42,19.21,11.28,13.64
부채비율,79.15,47.32,27.66,65.86,95.86
자본유보율,613.74,676.21,"2,283.02","1,469.55","1,397.18"
EPS(원),397,"1,624","4,925","2,753","3,248"
PER(배),53.49,13.66,5.05,17.91,19.58
BPS(원),"14,538","16,983","20,576","13,650","12,909"
PBR(배),1.46,1.31,1.21,3.61,4.93
현금DPS(원),73,"1,240",200,"9,900",
현금배당수익률,0.34,5.59,0.80,20.08,
현금배당성향(%),15.19,76.64,4.06,358.24,
발행주식수(보통주),"3,605,422","3,621,788","3,621,788","3,610,000","3,610,000"
